"CUADRO Nº 6: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia SANTA CRUZ (000)",11122,121,3033,3863,2953,1152
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (001)",29,,2,15,12,
"Profes., científicos e intelectuales (002)",1084,,116,657,306,5
"Técnicos de nivel medio y trab. asimilados (003)",143,1,46,64,28,4
"Jefes y empleados de oficina (004)",181,,44,84,51,2
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",528,5,118,213,156,36
"Agricult. trabaj. calif.agrop. y pesqueros (006)",4508,23,928,1462,1369,726
"Obreros y oper.minas, cant.,ind.manuf. y otros (007)",272,1,78,116,64,13
"Obreros construc., conf., papel, fab., instr. (008)",336,2,132,132,62,8
"Trabaj.no calif. serv., peon, vend.,amb.,y afines (009)",3586,89,1455,950,781,311
"Otra (010)",55,,2,32,21,
"Ocupación no especificada (011)",400,,112,138,103,47
"Hombres (012)",8870,98,2451,2956,2380,985
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (013)",25,,2,12,11,
"Profes., científicos e intelectuales (014)",575,,58,327,186,4
"Técnicos de nivel medio y trab. asimilados (015)",80,1,31,31,16,1
"Jefes y empleados de oficina (016)",106,,23,47,34,2
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",243,3,46,100,74,20
"Agricult. trabaj. calif.agrop. y pesqueros (018)",4363,23,893,1418,1330,699
"Obreros y oper.minas, cant.,ind.manuf. y otros (019)",231,1,69,97,53,11
"Obreros construc., conf., papel, fab., instr. (020)",327,1,130,127,61,8
"Trabaj.no calif. serv., peon, vend.,amb.,y afines (021)",2734,69,1154,722,568,221
"Otra (022)",55,,2,32,21,
"Ocupación no especificada (023)",131,,43,43,26,19
"Mujeres (024)",2252,23,582,907,573,167
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (025)",4,,,3,1,
"Profes., científicos e intelectuales (026)",509,,58,330,120,1
"Técnicos de nivel medio y trab. asimilados (027)",63,,15,33,12,3
"Jefes y empleados de oficina (028)",75,,21,37,17,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",285,2,72,113,82,16
"Agricult. trabaj. calif.agrop. y pesqueros (030)",145,,35,44,39,27
"Obreros y oper.minas, cant.,ind.manuf. y otros (031)",41,,9,19,11,2
"Obreros construc., conf., papel, fab., instr. (032)",9,1,2,5,1,
"Trabaj.no calif. serv., peon, vend.,amb.,y afines (033)",852,20,301,228,213,90
