"CUADRO Nº 6: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia CONCEPCION (000)",18961,329,5698,6461,4910,1563
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (001)",54,,4,20,28,2
"Profes., científicos e intelectuales (002)",1251,,304,580,348,19
"Técnicos de nivel medio y trab. asimilados (003)",537,2,191,213,121,10
"Jefes y empleados de oficina (004)",313,,129,113,68,3
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",1715,18,535,616,440,106
"Agricult. trabaj. calif.agrop. y pesqueros (006)",4955,26,932,1579,1651,767
"Obreros y oper.minas, cant.,ind.manuf. y otros (007)",1213,7,459,449,249,49
"Obreros construc., conf., papel, fab., instr. (008)",1310,3,452,545,274,36
"Trabaj.no calif. serv., peon, vend.,amb.,y afines (009)",7055,271,2531,2140,1593,520
"Otra (010)",75,,11,52,12,
"Ocupación no especificada (011)",483,2,150,154,126,51
"Hombres (012)",12466,201,3857,4172,3163,1073
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (013)",46,,1,19,24,2
"Profes., científicos e intelectuales (014)",627,,126,283,206,12
"Técnicos de nivel medio y trab. asimilados (015)",349,1,116,135,89,8
"Jefes y empleados de oficina (016)",141,,45,49,45,2
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",648,12,238,215,143,40
"Agricult. trabaj. calif.agrop. y pesqueros (018)",3893,17,742,1226,1307,601
"Obreros y oper.minas, cant.,ind.manuf. y otros (019)",980,6,363,366,205,40
"Obreros construc., conf., papel, fab., instr. (020)",1289,3,450,530,270,36
"Trabaj.no calif. serv., peon, vend.,amb.,y afines (021)",4241,161,1701,1239,831,309
"Otra (022)",70,,9,50,11,
"Ocupación no especificada (023)",182,1,66,60,32,23
"Mujeres (024)",6495,128,1841,2289,1747,490
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (025)",8,,3,1,4,
"Profes., científicos e intelectuales (026)",624,,178,297,142,7
"Técnicos de nivel medio y trab. asimilados (027)",188,1,75,78,32,2
"Jefes y empleados de oficina (028)",172,,84,64,23,1
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",1067,6,297,401,297,66
"Agricult. trabaj. calif.agrop. y pesqueros (030)",1062,9,190,353,344,166
"Obreros y oper.minas, cant.,ind.manuf. y otros (031)",233,1,96,83,44,9
"Obreros construc., conf., papel, fab., instr. (032)",21,,2,15,4,
