"CUADRO Nº 7: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia CHEPEN (000)",26640,461,8257,9706,6926,1290
"Agric., ganadería, caza y silvicultura (001)",11308,308,3772,3644,2913,671
"Pesca (002)",38,,9,17,11,1
"Explotación de minas y canteras (003)",23,,10,8,5,
"Industrias manufactureras (004)",1133,11,339,368,340,75
"Suministro de electricidad, gas y agua (005)",52,,18,26,8,
"Construcción (006)",1218,6,379,495,293,45
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",4983,92,1290,1874,1438,289
"Venta, mant.y rep. veh.autom.y motoc. (008)",420,5,161,149,84,21
"Comercio al por mayor (009)",256,6,70,112,64,4
"Comercio al por menor (010)",4307,81,1059,1613,1290,264
"Hoteles y restaurantes (011)",988,18,291,330,302,47
"Trans., almac. y comunicaciones (012)",2243,9,857,905,421,51
"Intermediación financiera (013)",120,,66,41,13,
"Activid.inmobil., empres. y alquileres (014)",646,2,240,258,137,9
"Admin.pub. y defensa; p. segur.soc.afil (015)",479,,105,194,172,8
"Enseñanza (016)",1495,,216,879,386,14
"Servicios sociales y de salud (017)",366,,66,158,133,9
"Otras activ. serv.comun.soc y personales (018)",524,8,172,196,126,22
"Hogares privados con servicio doméstico (019)",606,7,273,195,117,14
"Actividad economica no especificada (021)",418,,154,118,111,35
"Hombres (022)",18992,334,6030,6613,4976,1039
"Agric., ganadería, caza y silvicultura (023)",9551,226,3190,3007,2517,611
"Pesca (024)",36,,7,17,11,1
"Explotación de minas y canteras (025)",22,,9,8,5,
"Industrias manufactureras (026)",897,9,281,285,256,66
"Suministro de electricidad, gas y agua (027)",45,,12,25,8,
"Construcción (028)",1184,5,367,481,287,44
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",2753,66,763,981,764,179
"Venta, mant.y rep. veh.autom.y motoc. (030)",386,5,143,139,79,20
"Comercio al por mayor (031)",167,3,50,69,42,3
"Comercio al por menor (032)",2200,58,570,773,643,156
"Hoteles y restaurantes (033)",324,12,107,92,93,20
"Trans., almac. y comunicaciones (034)",2133,9,795,866,412,51
"Intermediación financiera (035)",71,,35,27,9,
"Activid.inmobil., empres. y alquileres (036)",474,2,160,191,112,9
"Admin.pub. y defensa; p. segur.soc.afil (037)",318,,55,121,134,8
"Enseñanza (038)",562,,65,292,194,11
"Servicios sociales y de salud (039)",148,,19,64,58,7
"Otras activ. serv.comun.soc y personales (040)",319,5,102,122,73,17
