"CUADRO Nº 18: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia CANAS (000)",9084,814,863,4926,135,2292,54
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",25,25,,,,,
"Profes., científicos e intelectuales (002)",458,421,,36,,1,
"Técnicos de nivel medio y trab. asimilados (003)",85,60,,21,3,1,
"Jefes y empleados de oficina (004)",135,135,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",400,37,4,309,4,46,
"Agricult.trabaj. calif.agrop. y pesqueros (006)",4145,,,4023,122,,
"Obreros y oper.minas, cant., ind.manuf.y otros (007)",370,,90,176,1,103,
"Obreros construc.,conf., papel, fab., instr. (008)",370,25,198,121,3,23,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (009)",2862,70,551,103,2,2082,54
"Otra (010)",20,20,,,,,
"Ocupación no especificada (011)",214,21,20,137,,36,
"Hombres (012)",5801,573,784,3544,90,797,13
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",20,20,,,,,
"Profes., científicos e intelectuales (014)",313,289,,23,,1,
"Técnicos de nivel medio y trab. asimilados (015)",61,40,,18,2,1,
"Jefes y empleados de oficina (016)",106,106,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",133,18,,105,1,9,
"Agricult.trabaj. calif.agrop. y pesqueros (018)",3136,,,3054,82,,
"Obreros y oper.minas, cant., ind.manuf.y otros (019)",321,,85,143,1,92,
"Obreros construc.,conf., papel, fab., instr. (020)",358,24,197,114,3,20,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (021)",1237,46,486,33,1,658,13
"Otra (022)",19,19,,,,,
"Ocupación no especificada (023)",97,11,16,54,,16,
"Mujeres (024)",3283,241,79,1382,45,1495,41
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",5,5,,,,,
"Profes., científicos e intelectuales (026)",145,132,,13,,,
"Técnicos de nivel medio y trab. asimilados (027)",24,20,,3,1,,
"Jefes y empleados de oficina (028)",29,29,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",267,19,4,204,3,37,
"Agricult.trabaj. calif.agrop. y pesqueros (030)",1009,,,969,40,,
"Obreros y oper.minas, cant., ind.manuf.y otros (031)",49,,5,33,,11,
"Obreros construc.,conf., papel, fab., instr. (032)",12,1,1,7,,3,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (033)",1625,24,65,70,1,1424,41
"Otra (034)",1,1,,,,,
"Ocupación no especificada (035)",117,10,4,83,,20,
,,,,,,,
"URBANA (036)",1778,482,224,810,32,202,28
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (037)",13,13,,,,,
"Profes., científicos e intelectuales (038)",261,241,,19,,1,
"Técnicos de nivel medio y trab. asimilados (039)",60,41,,16,3,,
"Jefes y empleados de oficina (040)",89,89,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (041)",254,18,,196,4,36,
"Agricult.trabaj. calif.agrop. y pesqueros (042)",389,,,370,19,,
"Obreros y oper.minas, cant., ind.manuf.y otros (043)",113,,27,75,1,10,
"Obreros construc.,conf., papel, fab., instr. (044)",113,9,61,39,3,1,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (045)",421,43,130,69,2,149,28
"Otra (046)",20,20,,,,,
"Ocupación no especificada (047)",45,8,6,26,,5,
"Hombres (048)",1085,310,196,480,20,72,7
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (049)",11,11,,,,,
"Profes., científicos e intelectuales (050)",163,152,,10,,1,
"Técnicos de nivel medio y trab. asimilados (051)",41,24,,15,2,,
"Jefes y empleados de oficina (052)",61,61,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (053)",70,9,,55,1,5,
"Agricult.trabaj. calif.agrop. y pesqueros (054)",290,,,278,12,,
"Obreros y oper.minas, cant., ind.manuf.y otros (055)",96,,24,63,1,8,
"Obreros construc.,conf., papel, fab., instr. (056)",108,9,61,34,3,1,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (057)",206,23,106,15,1,54,7
"Otra (058)",19,19,,,,,
"Ocupación no especificada (059)",20,2,5,10,,3,
"Mujeres (060)",693,172,28,330,12,130,21
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (061)",2,2,,,,,
"Profes., científicos e intelectuales (062)",98,89,,9,,,
"Técnicos de nivel medio y trab. asimilados (063)",19,17,,1,1,,
"Jefes y empleados de oficina (064)",28,28,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (065)",184,9,,141,3,31,
"Agricult.trabaj. calif.agrop. y pesqueros (066)",99,,,92,7,,
"Obreros y oper.minas, cant., ind.manuf.y otros (067)",17,,3,12,,2,
"Obreros construc.,conf., papel, fab., instr. (068)",5,,,5,,,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (069)",215,20,24,54,1,95,21
"Otra (070)",1,1,,,,,
"Ocupación no especificada (071)",25,6,1,16,,2,
,,,,,,,
"RURAL (072)",7306,332,639,4116,103,2090,26
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (073)",12,12,,,,,
"Profes., científicos e intelectuales (074)",197,180,,17,,,
"Técnicos de nivel medio y trab. asimilados (075)",25,19,,5,,1,
"Jefes y empleados de oficina (076)",46,46,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (077)",146,19,4,113,,10,
"Agricult.trabaj. calif.agrop. y pesqueros (078)",3756,,,3653,103,,
"Obreros y oper.minas, cant., ind.manuf.y otros (079)",257,,63,101,,93,
"Obreros construc.,conf., papel, fab., instr. (080)",257,16,137,82,,22,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (081)",2441,27,421,34,,1933,26
"Ocupación no especificada (083)",169,13,14,111,,31,
"Hombres (084)",4716,263,588,3064,70,725,6
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (085)",9,9,,,,,
"Profes., científicos e intelectuales (086)",150,137,,13,,,
"Técnicos de nivel medio y trab. asimilados (087)",20,16,,3,,1,
"Jefes y empleados de oficina (088)",45,45,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (089)",63,9,,50,,4,
"Agricult.trabaj. calif.agrop. y pesqueros (090)",2846,,,2776,70,,
"Obreros y oper.minas, cant., ind.manuf.y otros (091)",225,,61,80,,84,
"Obreros construc.,conf., papel, fab., instr. (092)",250,15,136,80,,19,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (093)",1031,23,380,18,,604,6
"Ocupación no especificada (095)",77,9,11,44,,13,
"Mujeres (096)",2590,69,51,1052,33,1365,20
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (097)",3,3,,,,,
"Profes., científicos e intelectuales (098)",47,43,,4,,,
"Técnicos de nivel medio y trab. asimilados (099)",5,3,,2,,,
"Jefes y empleados de oficina (100)",1,1,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (101)",83,10,4,63,,6,
