"CUADRO Nº 7: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia EL COLLAO (000)",31442,469,8622,9722,8834,3795
"Agric., ganadería, caza y silvicultura (001)",21502,272,5262,5979,6573,3416
"Pesca (002)",166,1,54,62,46,3
"Explotación de minas y canteras (003)",18,,10,4,3,1
"Industrias manufactureras (004)",700,12,278,226,150,34
"Suministro de electricidad, gas y agua (005)",21,,9,9,2,1
"Construcción (006)",626,2,209,232,168,15
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",3655,115,1212,1330,844,154
"Venta, mant.y rep. veh.autom.y motoc. (008)",247,6,120,80,39,2
"Comercio al por mayor (009)",71,1,26,27,15,2
"Comercio al por menor (010)",3337,108,1066,1223,790,150
"Hoteles y restaurantes (011)",515,39,202,161,93,20
"Trans., almac. y comunicaciones (012)",878,7,313,361,183,14
"Intermediación financiera (013)",10,,1,5,3,1
"Activid.inmobil., empres. y alquileres (014)",197,1,79,83,31,3
"Admin.pub. y defensa; p. segur.soc.afil (015)",735,,302,316,111,6
"Enseñanza (016)",1092,,192,548,337,15
"Servicios sociales y de salud (017)",207,,50,86,69,2
"Otras activ. serv.comun.soc y personales (018)",185,12,88,47,32,6
"Hogares privados con servicio doméstico (019)",115,7,73,21,12,2
"Actividad economica no especificada (021)",820,1,288,252,177,102
"Hombres (022)",18752,233,4912,5846,5400,2361
"Agric., ganadería, caza y silvicultura (023)",12847,123,2981,3627,3950,2166
"Pesca (024)",137,1,43,52,39,2
"Explotación de minas y canteras (025)",16,,10,3,2,1
"Industrias manufactureras (026)",378,10,140,120,89,19
"Suministro de electricidad, gas y agua (027)",19,,8,8,2,1
"Construcción (028)",614,1,207,224,167,15
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",1456,58,504,470,360,64
"Venta, mant.y rep. veh.autom.y motoc. (030)",223,5,113,70,33,2
"Comercio al por mayor (031)",34,,16,7,9,2
"Comercio al por menor (032)",1199,53,375,393,318,60
"Hoteles y restaurantes (033)",157,20,63,40,23,11
"Trans., almac. y comunicaciones (034)",841,7,285,355,180,14
"Intermediación financiera (035)",7,,,3,3,1
"Activid.inmobil., empres. y alquileres (036)",159,1,57,69,29,3
"Admin.pub. y defensa; p. segur.soc.afil (037)",625,,238,277,104,6
"Enseñanza (038)",796,,113,376,294,13
"Servicios sociales y de salud (039)",119,,22,47,48,2
"Otras activ. serv.comun.soc y personales (040)",143,10,70,35,24,4
