"CUADRO Nº 16: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"CATEGORIA DE OCUPACION",,,,,,DESOCUPADO
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR",
,,,,,,,,
"Provincia AREQUIPA (000)",360402,123350,64284,121225,8097,10400,11722,21324
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",1065,742,,,323,,,
"Profes., científicos e intelectuales (002)",48861,38520,,9011,1206,124,,
"Técnicos de nivel medio y trab. asimilados (003)",28359,18354,,8154,1556,233,62,
"Jefes y empleados de oficina (004)",20518,20290,,86,,142,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",60500,20953,851,32560,1563,4553,20,
"Agricult.trabaj.calif.agrop.y pesqueros (006)",10499,34,37,8950,1472,6,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",40547,,20016,18560,1130,841,,
"Obreros construc.,conf.,papel, fab., instr. (008)",42336,5190,14224,22177,513,231,1,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (009)",74774,12483,27674,19249,166,3563,11639,
"Otra (010)",4767,4767,,,,,,
"Ocupación no especificada (011)",6852,2017,1482,2478,168,707,,
"Desocupado (012)",21324,,,,,,,21324
"Hombres (013)",208115,63625,49163,72912,5427,3732,600,12656
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (014)",679,469,,,210,,,
"Profes., científicos e intelectuales (015)",24242,17456,,5858,877,51,,
"Técnicos de nivel medio y trab. asimilados (016)",16597,10053,,5420,996,125,3,
"Jefes y empleados de oficina (017)",9182,9110,,28,,44,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (018)",22973,10070,299,10996,646,962,,
"Agricult.trabaj.calif.agrop.y pesqueros (019)",7625,27,30,6417,1148,3,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (020)",31139,,15350,14359,924,506,,
"Obreros construc.,conf.,papel, fab., instr. (021)",40381,5066,13592,21071,481,170,1,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (022)",34901,6095,18933,7539,61,1677,596,
"Otra (023)",4328,4328,,,,,,
"Ocupación no especificada (024)",3412,951,959,1224,84,194,,
"Desocupado (025)",12656,,,,,,,12656
"Mujeres (026)",152287,59725,15121,48313,2670,6668,11122,8668
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (027)",386,273,,,113,,,
"Profes., científicos e intelectuales (028)",24619,21064,,3153,329,73,,
"Técnicos de nivel medio y trab. asimilados (029)",11762,8301,,2734,560,108,59,
"Jefes y empleados de oficina (030)",11336,11180,,58,,98,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (031)",37527,10883,552,21564,917,3591,20,
"Agricult.trabaj.calif.agrop.y pesqueros (032)",2874,7,7,2533,324,3,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (033)",9408,,4666,4201,206,335,,
"Obreros construc.,conf.,papel, fab., instr. (034)",1955,124,632,1106,32,61,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (035)",39873,6388,8741,11710,105,1886,11043,
"Otra (036)",439,439,,,,,,
"Ocupación no especificada (037)",3440,1066,523,1254,84,513,,
"Desocupado (038)",8668,,,,,,,8668
,,,,,,,,
"URBANA (039)",350812,122562,60492,118185,7572,9328,11633,21040
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (040)",1055,732,,,323,,,
"Profes., científicos e intelectuales (041)",48628,38342,,8965,1198,123,,
"Técnicos de nivel medio y trab. asimilados (042)",28192,18237,,8114,1547,232,62,
"Jefes y empleados de oficina (043)",20412,20184,,86,,142,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (044)",60040,20854,841,32261,1543,4521,20,
"Agricult.trabaj.calif.agrop.y pesqueros (045)",8185,26,31,7112,1012,4,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (046)",39661,,19611,18203,1113,734,,
"Obreros construc.,conf.,papel, fab., instr. (047)",41881,5145,14020,21980,508,227,1,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (048)",70354,12363,24549,19057,165,2670,11550,
"Otra (049)",4676,4676,,,,,,
"Ocupación no especificada (050)",6688,2003,1440,2407,163,675,,
"Desocupado (051)",21040,,,,,,,21040
"Hombres (052)",201564,63135,46393,70701,4993,3297,591,12454
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (053)",670,460,,,210,,,
"Profes., científicos e intelectuales (054)",24128,17382,,5825,871,50,,
"Técnicos de nivel medio y trab. asimilados (055)",16481,9972,,5394,988,124,3,
"Jefes y empleados de oficina (056)",9127,9055,,28,,44,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (057)",22823,10022,298,10907,640,956,,
"Agricult.trabaj.calif.agrop.y pesqueros (058)",5723,19,24,4925,754,1,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (059)",30443,,14982,14073,909,479,,
"Obreros construc.,conf.,papel, fab., instr. (060)",39948,5022,13395,20885,476,169,1,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (061)",32181,6021,16756,7468,61,1288,587,
"Otra (062)",4239,4239,,,,,,
"Ocupación no especificada (063)",3347,943,938,1196,84,186,,
"Desocupado (064)",12454,,,,,,,12454
"Mujeres (065)",149248,59427,14099,47484,2579,6031,11042,8586
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (066)",385,272,,,113,,,
"Profes., científicos e intelectuales (067)",24500,20960,,3140,327,73,,
"Técnicos de nivel medio y trab. asimilados (068)",11711,8265,,2720,559,108,59,
"Jefes y empleados de oficina (069)",11285,11129,,58,,98,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (070)",37217,10832,543,21354,903,3565,20,
"Agricult.trabaj.calif.agrop.y pesqueros (071)",2462,7,7,2187,258,3,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (072)",9218,,4629,4130,204,255,,
"Obreros construc.,conf.,papel, fab., instr. (073)",1933,123,625,1095,32,58,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (074)",38173,6342,7793,11589,104,1382,10963,
"Otra (075)",437,437,,,,,,
"Ocupación no especificada (076)",3341,1060,502,1211,79,489,,
"Desocupado (077)",8586,,,,,,,8586
,,,,,,,,
"RURAL (078)",9590,788,3792,3040,525,1072,89,284
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (079)",10,10,,,,,,
"Profes., científicos e intelectuales (080)",233,178,,46,8,1,,
"Técnicos de nivel medio y trab. asimilados (081)",167,117,,40,9,1,,
"Jefes y empleados de oficina (082)",106,106,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (083)",460,99,10,299,20,32,,
"Agricult.trabaj.calif.agrop.y pesqueros (084)",2314,8,6,1838,460,2,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (085)",886,,405,357,17,107,,
"Obreros construc.,conf.,papel, fab., instr. (086)",455,45,204,197,5,4,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (087)",4420,120,3125,192,1,893,89,
"Otra (088)",91,91,,,,,,
"Ocupación no especificada (089)",164,14,42,71,5,32,,
"Desocupado (090)",284,,,,,,,284
