"CUADRO Nº 6: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia TARMA (000)",42825,661,12950,14602,11156,3456
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (001)",68,,6,27,32,3
"Profes., científicos e intelectuales (002)",3015,,550,1608,810,47
"Técnicos de nivel medio y trab. asimilados (003)",1332,3,458,514,328,29
"Jefes y empleados de oficina (004)",830,,314,318,189,9
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",4844,40,1467,1777,1268,292
"Agricult. trabaj. calif.agrop. y pesqueros (006)",12276,48,2403,3935,4040,1850
"Obreros y oper.minas, cant.,ind.manuf. y otros (007)",2723,21,886,923,694,199
"Obreros construc., conf., papel, fab., instr. (008)",3657,9,1169,1436,904,139
"Trabaj.no calif. serv., peon, vend.,amb.,y afines (009)",13052,537,5365,3694,2653,803
"Otra (010)",106,,21,67,18,
"Ocupación no especificada (011)",922,3,311,303,220,85
"Hombres (012)",28699,445,8786,9506,7468,2494
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (013)",49,,5,19,23,2
"Profes., científicos e intelectuales (014)",1519,,263,764,456,36
"Técnicos de nivel medio y trab. asimilados (015)",866,2,297,340,206,21
"Jefes y empleados de oficina (016)",401,,114,165,115,7
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",1847,18,586,635,468,140
"Agricult. trabaj. calif.agrop. y pesqueros (018)",10353,39,2032,3377,3371,1534
"Obreros y oper.minas, cant.,ind.manuf. y otros (019)",2226,19,726,762,570,149
"Obreros construc., conf., papel, fab., instr. (020)",3494,8,1110,1373,867,136
"Trabaj.no calif. serv., peon, vend.,amb.,y afines (021)",7504,357,3510,1899,1301,437
"Otra (022)",98,,15,65,18,
"Ocupación no especificada (023)",342,2,128,107,73,32
"Mujeres (024)",14126,216,4164,5096,3688,962
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (025)",19,,1,8,9,1
"Profes., científicos e intelectuales (026)",1496,,287,844,354,11
"Técnicos de nivel medio y trab. asimilados (027)",466,1,161,174,122,8
"Jefes y empleados de oficina (028)",429,,200,153,74,2
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",2997,22,881,1142,800,152
"Agricult. trabaj. calif.agrop. y pesqueros (030)",1923,9,371,558,669,316
"Obreros y oper.minas, cant.,ind.manuf. y otros (031)",497,2,160,161,124,50
"Obreros construc., conf., papel, fab., instr. (032)",163,1,59,63,37,3
