"CUADRO Nº 6: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia BAGUA (000)",24239,710,8593,8470,5228,1238
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (001)",55,,6,28,19,2
"Profes., científicos e intelectuales (002)",1896,,353,1086,435,22
"Técnicos de nivel medio y trab. asimilados (003)",463,1,158,199,96,9
"Jefes y empleados de oficina (004)",502,,214,180,98,10
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",1989,57,564,768,515,85
"Agricult. trabaj. calif.agrop. y pesqueros (006)",7516,77,2018,2699,2029,693
"Obreros y oper.minas, cant.,ind.manuf. y otros (007)",728,17,221,261,196,33
"Obreros construc., conf., papel, fab., instr. (008)",1404,5,617,490,259,33
"Trabaj.no calif. serv., peon, vend.,amb.,y afines (009)",8860,544,4146,2444,1419,307
"Otra (010)",75,,18,47,10,
"Ocupación no especificada (011)",751,9,278,268,152,44
"Hombres (012)",17619,494,6132,5976,3961,1056
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (013)",40,,3,17,18,2
"Profes., científicos e intelectuales (014)",998,,160,552,272,14
"Técnicos de nivel medio y trab. asimilados (015)",295,,99,109,79,8
"Jefes y empleados de oficina (016)",233,,60,88,77,8
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",941,38,234,346,276,47
"Agricult. trabaj. calif.agrop. y pesqueros (018)",6572,52,1663,2413,1815,629
"Obreros y oper.minas, cant.,ind.manuf. y otros (019)",627,16,201,221,157,32
"Obreros construc., conf., papel, fab., instr. (020)",1381,4,608,479,257,33
"Trabaj.no calif. serv., peon, vend.,amb.,y afines (021)",6159,378,2988,1599,939,255
"Otra (022)",70,,15,47,8,
"Ocupación no especificada (023)",303,6,101,105,63,28
"Mujeres (024)",6620,216,2461,2494,1267,182
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (025)",15,,3,11,1,
"Profes., científicos e intelectuales (026)",898,,193,534,163,8
"Técnicos de nivel medio y trab. asimilados (027)",168,1,59,90,17,1
"Jefes y empleados de oficina (028)",269,,154,92,21,2
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",1048,19,330,422,239,38
"Agricult. trabaj. calif.agrop. y pesqueros (030)",944,25,355,286,214,64
"Obreros y oper.minas, cant.,ind.manuf. y otros (031)",101,1,20,40,39,1
"Obreros construc., conf., papel, fab., instr. (032)",23,1,9,11,2,
