"CUADRO Nº 17: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia DOS DE MAYO (000)",12132,1417,2992,5083,323,2152,165
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",33,33,,,,,
"Profes., científicos e intelectuales (002)",921,894,,26,,1,
"Técnicos de nivel medio y trab. asimilados (003)",190,133,,47,6,4,
"Jefes y empleados de oficina (004)",142,139,,2,,1,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",760,47,6,598,12,97,
"Agricult.trabaj.calif.agrop.y pesqueros (006)",3919,1,,3642,276,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",361,,102,223,18,18,
"Obreros construc.,conf.,papel, fab., instr. (008)",353,30,141,169,9,4,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",5145,80,2683,258,,1959,165
"Otra (010)",28,28,,,,,
"Ocupación no especificada (011)",280,32,60,118,2,68,
"Hombres (012)",9014,809,2803,3983,266,1129,24
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",30,30,,,,,
"Profes., científicos e intelectuales (014)",496,477,,19,,,
"Técnicos de nivel medio y trab. asimilados (015)",125,79,,40,3,3,
"Jefes y empleados de oficina (016)",77,75,,2,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",294,29,3,237,6,19,
"Agricult.trabaj.calif.agrop.y pesqueros (018)",3421,1,,3190,230,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",319,,99,188,18,14,
"Obreros construc.,conf.,papel, fab., instr. (020)",353,30,141,169,9,4,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",3756,51,2515,106,,1060,24
"Otra (022)",28,28,,,,,
"Ocupación no especificada (023)",115,9,45,32,,29,
"Mujeres (024)",3118,608,189,1100,57,1023,141
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",3,3,,,,,
"Profes., científicos e intelectuales (026)",425,417,,7,,1,
"Técnicos de nivel medio y trab. asimilados (027)",65,54,,7,3,1,
"Jefes y empleados de oficina (028)",65,64,,,,1,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",466,18,3,361,6,78,
"Agricult.trabaj.calif.agrop.y pesqueros (030)",498,,,452,46,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",42,,3,35,,4,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (033)",1389,29,168,152,,899,141
"Ocupación no especificada (035)",165,23,15,86,2,39,
,,,,,,,
"URBANA (036)",4626,1204,754,2086,50,426,106
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (037)",27,27,,,,,
"Profes., científicos e intelectuales (038)",799,775,,23,,1,
"Técnicos de nivel medio y trab. asimilados (039)",172,118,,46,4,4,
"Jefes y empleados de oficina (040)",123,120,,2,,1,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (041)",650,40,4,513,7,86,
"Agricult.trabaj.calif.agrop.y pesqueros (042)",953,1,,932,20,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (043)",282,,78,177,14,13,
"Obreros construc.,conf.,papel, fab., instr. (044)",259,26,89,136,5,3,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (045)",1249,60,572,205,,306,106
"Otra (046)",28,28,,,,,
"Ocupación no especificada (047)",84,9,11,52,,12,
"Hombres (048)",3141,678,698,1475,40,237,13
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (049)",25,25,,,,,
"Profes., científicos e intelectuales (050)",420,403,,17,,,
"Técnicos de nivel medio y trab. asimilados (051)",110,67,,39,1,3,
"Jefes y empleados de oficina (052)",66,64,,2,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (053)",232,24,2,188,2,16,
"Agricult.trabaj.calif.agrop.y pesqueros (054)",867,1,,848,18,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (055)",257,,76,156,14,11,
"Obreros construc.,conf.,papel, fab., instr. (056)",259,26,89,136,5,3,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (057)",857,38,527,78,,201,13
"Otra (058)",28,28,,,,,
"Ocupación no especificada (059)",20,2,4,11,,3,
"Mujeres (060)",1485,526,56,611,10,189,93
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (061)",2,2,,,,,
"Profes., científicos e intelectuales (062)",379,372,,6,,1,
"Técnicos de nivel medio y trab. asimilados (063)",62,51,,7,3,1,
"Jefes y empleados de oficina (064)",57,56,,,,1,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (065)",418,16,2,325,5,70,
"Agricult.trabaj.calif.agrop.y pesqueros (066)",86,,,84,2,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (067)",25,,2,21,,2,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (069)",392,22,45,127,,105,93
"Ocupación no especificada (071)",64,7,7,41,,9,
,,,,,,,
"RURAL (072)",7506,213,2238,2997,273,1726,59
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (073)",6,6,,,,,
"Profes., científicos e intelectuales (074)",122,119,,3,,,
"Técnicos de nivel medio y trab. asimilados (075)",18,15,,1,2,,
"Jefes y empleados de oficina (076)",19,19,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (077)",110,7,2,85,5,11,
"Agricult.trabaj.calif.agrop.y pesqueros (078)",2966,,,2710,256,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (079)",79,,24,46,4,5,
"Obreros construc.,conf.,papel, fab., instr. (080)",94,4,52,33,4,1,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (081)",3896,20,2111,53,,1653,59
"Ocupación no especificada (083)",196,23,49,66,2,56,
"Hombres (084)",5873,131,2105,2508,226,892,11
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (085)",5,5,,,,,
"Profes., científicos e intelectuales (086)",76,74,,2,,,
"Técnicos de nivel medio y trab. asimilados (087)",15,12,,1,2,,
"Jefes y empleados de oficina (088)",11,11,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (089)",62,5,1,49,4,3,
"Agricult.trabaj.calif.agrop.y pesqueros (090)",2554,,,2342,212,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (091)",62,,23,32,4,3,
"Obreros construc.,conf.,papel, fab., instr. (092)",94,4,52,33,4,1,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (093)",2899,13,1988,28,,859,11
"Ocupación no especificada (095)",95,7,41,21,,26,
"Mujeres (096)",1633,82,133,489,47,834,48
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (097)",1,1,,,,,
"Profes., científicos e intelectuales (098)",46,45,,1,,,
"Técnicos de nivel medio y trab. asimilados (099)",3,3,,,,,
"Jefes y empleados de oficina (100)",8,8,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (101)",48,2,1,36,1,8,
"Agricult.trabaj.calif.agrop.y pesqueros (102)",412,,,368,44,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (103)",17,,1,14,,2,
