"CUADRO Nº 7: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia CAMANA (000)",22182,171,6957,8262,5698,1094
"Agric., ganadería, caza y silvicultura (001)",6462,37,1578,2337,1924,586
"Pesca (002)",1022,3,341,409,246,23
"Explotación de minas y canteras (003)",2202,12,1204,717,254,15
"Industrias manufactureras (004)",775,9,235,279,215,37
"Suministro de electricidad, gas y agua (005)",44,,7,14,22,1
"Construcción (006)",964,3,286,393,249,33
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",3503,39,1016,1260,984,204
"Venta, mant.y rep. veh.autom.y motoc. (008)",353,,130,135,78,10
"Comercio al por mayor (009)",184,,63,70,43,8
"Comercio al por menor (010)",2966,39,823,1055,863,186
"Hoteles y restaurantes (011)",1016,20,389,316,255,36
"Trans., almac. y comunicaciones (012)",1673,18,529,623,452,51
"Intermediación financiera (013)",83,,33,39,9,2
"Activid.inmobil., empres. y alquileres (014)",643,3,218,276,131,15
"Admin.pub. y defensa; p. segur.soc.afil (015)",730,,172,328,219,11
"Enseñanza (016)",1081,,226,570,277,8
"Servicios sociales y de salud (017)",376,,79,163,125,9
"Otras activ. serv.comun.soc y personales (018)",710,7,246,253,169,35
"Hogares privados con servicio doméstico (019)",458,19,251,110,73,5
"Actividad economica no especificada (021)",440,1,147,175,94,23
"Hombres (022)",14895,114,4623,5402,3898,858
"Agric., ganadería, caza y silvicultura (023)",4795,31,1125,1623,1492,524
"Pesca (024)",1006,3,334,404,243,22
"Explotación de minas y canteras (025)",2047,11,1120,668,233,15
"Industrias manufactureras (026)",559,9,176,196,152,26
"Suministro de electricidad, gas y agua (027)",40,,6,12,21,1
"Construcción (028)",933,3,276,375,247,32
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",1541,21,460,540,426,94
"Venta, mant.y rep. veh.autom.y motoc. (030)",321,,119,119,74,9
"Comercio al por mayor (031)",116,,39,46,27,4
"Comercio al por menor (032)",1104,21,302,375,325,81
"Hoteles y restaurantes (033)",324,8,135,102,68,11
"Trans., almac. y comunicaciones (034)",1526,17,449,579,431,50
"Intermediación financiera (035)",46,,13,26,5,2
"Activid.inmobil., empres. y alquileres (036)",448,1,134,203,95,15
"Admin.pub. y defensa; p. segur.soc.afil (037)",511,,98,240,162,11
"Enseñanza (038)",374,,60,182,125,7
"Servicios sociales y de salud (039)",120,,17,53,45,5
