"CUADRO Nº 5: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia ESPINAR (000)",23939,532,7399,8044,5994,1970
"Agric., ganadería, caza y silvicultura (001)",11998,345,2961,3430,3609,1653
"Pesca (002)",15,,7,4,4,
"Explotación de minas y canteras (003)",1208,2,421,467,315,3
"Industrias manufactureras (004)",812,12,300,254,176,70
"Suministro de electricidad, gas y agua (005)",36,,15,12,8,1
"Construcción (006)",1947,11,729,777,401,29
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",2532,50,760,1037,565,120
"Venta, mant.y rep. veh.autom.y motoc. (008)",234,4,123,75,29,3
"Comercio al por mayor (009)",94,,28,49,16,1
"Comercio al por menor (010)",2204,46,609,913,520,116
"Hoteles y restaurantes (011)",701,30,315,228,112,16
"Trans., almac. y comunicaciones (012)",792,18,323,299,148,4
"Intermediación financiera (013)",11,,6,4,1,
"Activid.inmobil., empres. y alquileres (014)",342,,136,149,54,3
"Admin.pub. y defensa; p. segur.soc afil (015)",443,,153,206,79,5
"Enseñanza (016)",1010,1,221,540,244,4
"Servicios sociales y de salud (017)",146,,47,73,23,3
"Otras activ. serv.comun.soc y personales (018)",272,16,121,95,34,6
"Hogares privados con servicio doméstico (019)",240,24,157,24,25,10
"Organiz. y organos extraterritoriales (020)",1,,1,,,
"Actividad economica no especificada (021)",358,5,145,119,67,22
"Desocupado (022)",1075,18,581,326,129,21
"Hombres (023)",14223,288,4263,4837,3688,1147
"Agric., ganadería, caza y silvicultura (024)",6279,181,1384,1771,1966,977
"Pesca (025)",12,,5,3,4,
"Explotación de minas y canteras (026)",1153,2,393,450,305,3
"Industrias manufactureras (027)",569,8,215,175,127,44
"Suministro de electricidad, gas y agua (028)",34,,13,12,8,1
"Construcción (029)",1846,11,673,743,390,29
"Comerc., rep. veh. autom.,motoc. efect. pers. (030)",961,31,318,341,222,49
"Venta, mant.y rep. veh.autom.y motoc. (031)",214,4,113,68,26,3
"Comercio al por mayor (032)",44,,11,23,9,1
"Comercio al por menor (033)",703,27,194,250,187,45
"Hoteles y restaurantes (034)",196,11,106,52,25,2
"Trans., almac. y comunicaciones (035)",724,12,278,286,144,4
"Intermediación financiera (036)",7,,3,3,1,
"Activid.inmobil., empres. y alquileres (037)",270,,103,115,49,3
"Admin.pub. y defensa; p. segur.soc afil (038)",365,,108,179,73,5
"Enseñanza (039)",559,,78,294,183,4
