"CUADRO Nº 4: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia SULLANA (000)",99088,1145,32650,36480,24584,4229
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",163,,9,42,104,8
"Profes., científicos e intelectuales (002)",8022,,1459,4207,2263,93
"Técnicos de nivel medio y trab.asimilados (003)",4106,3,1325,1719,957,102
"Jefes y empleados de oficina (004)",3002,,1207,1157,613,25
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",16519,163,4944,6265,4416,731
"Agricult.trabaj. calif. agrop. y pesqueros (006)",11316,46,2293,3721,3999,1257
"Obreros y oper.minas, cant.,ind.manuf. y otros (007)",7570,69,2741,2583,1859,318
"Obreros construc., conf., papel, fab., instr. (008)",11200,26,3623,4465,2787,299
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (009)",28634,742,11232,9639,5928,1093
"Otra (010)",826,,126,434,266,
"Ocupación no especificada (011)",2110,9,792,685,488,136
"Desocupado (012)",5620,87,2899,1563,904,167
"Hombres (013)",72501,888,24167,25846,18163,3437
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (014)",100,,7,26,63,4
"Profes., científicos e intelectuales (015)",3368,,524,1633,1138,73
"Técnicos de nivel medio y trab.asimilados (016)",2563,2,741,1068,661,91
"Jefes y empleados de oficina (017)",1517,,508,616,373,20
"Trab.de serv.pers.y vend.del comerc.y mcdo. (018)",8629,113,2744,3168,2205,399
"Agricult.trabaj. calif. agrop. y pesqueros (019)",10978,42,2208,3621,3901,1206
"Obreros y oper.minas, cant.,ind.manuf. y otros (020)",6527,63,2456,2181,1549,278
"Obreros construc., conf., papel, fab., instr. (021)",10987,23,3542,4384,2744,294
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (022)",21760,571,8880,7232,4237,840
"Otra (023)",792,,106,424,262,
"Ocupación no especificada (024)",1117,8,451,334,245,79
"Desocupado (025)",4163,66,2000,1159,785,153
"Mujeres (026)",26587,257,8483,10634,6421,792
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (027)",63,,2,16,41,4
"Profes., científicos e intelectuales (028)",4654,,935,2574,1125,20
"Técnicos de nivel medio y trab.asimilados (029)",1543,1,584,651,296,11
"Jefes y empleados de oficina (030)",1485,,699,541,240,5
"Trab.de serv.pers.y vend.del comerc.y mcdo. (031)",7890,50,2200,3097,2211,332
"Agricult.trabaj. calif. agrop. y pesqueros (032)",338,4,85,100,98,51
