"CUADRO Nº 5: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia PAITA (000)",37347,504,14147,13434,7928,1334
"Agric., ganadería, caza y silvicultura (001)",5342,101,1616,1550,1529,546
"Pesca (002)",5117,95,2211,1858,852,101
"Explotación de minas y canteras (003)",81,1,21,36,21,2
"Industrias manufactureras (004)",6080,41,2636,2333,992,78
"Suministro de electricidad, gas y agua (005)",108,1,28,43,34,2
"Construcción (006)",1557,9,512,616,386,34
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",4766,119,1496,1730,1214,207
"Venta, mant.y rep. veh.autom.y motoc. (008)",471,5,212,139,104,11
"Comercio al por mayor (009)",447,6,165,175,97,4
"Comercio al por menor (010)",3848,108,1119,1416,1013,192
"Hoteles y restaurantes (011)",1167,25,389,413,300,40
"Trans., almac. y comunicaciones (012)",3880,10,1582,1493,733,62
"Intermediación financiera (013)",67,,32,22,13,
"Activid.inmobil., empres. y alquileres (014)",1567,4,614,603,309,37
"Admin.pub. y defensa; p. segur.soc afil (015)",1184,,391,484,288,21
"Enseñanza (016)",1090,1,299,490,289,11
"Servicios sociales y de salud (017)",286,,76,136,70,4
"Otras activ. serv.comun.soc y personales (018)",877,14,306,348,173,36
"Hogares privados con servicio doméstico (019)",607,26,325,157,88,11
"Actividad economica no especificada (021)",826,12,286,290,179,59
"Desocupado (022)",2745,45,1327,832,458,83
"Hombres (023)",28114,389,10558,9879,6167,1121
"Agric., ganadería, caza y silvicultura (024)",5156,90,1549,1498,1485,534
"Pesca (025)",4928,92,2129,1782,825,100
"Explotación de minas y canteras (026)",80,1,20,36,21,2
"Industrias manufactureras (027)",4218,39,1840,1569,705,65
"Suministro de electricidad, gas y agua (028)",95,1,24,34,34,2
"Construcción (029)",1520,7,499,597,383,34
"Comerc., rep. veh. autom.,motoc. efect. pers. (030)",2457,88,829,787,636,117
"Venta, mant.y rep. veh.autom.y motoc. (031)",434,4,190,130,99,11
"Comercio al por mayor (032)",281,3,105,101,69,3
"Comercio al por menor (033)",1742,81,534,556,468,103
"Hoteles y restaurantes (034)",296,12,120,77,79,8
"Trans., almac. y comunicaciones (035)",3676,9,1466,1423,718,60
"Intermediación financiera (036)",29,,12,10,7,
"Activid.inmobil., empres. y alquileres (037)",1247,3,463,478,266,37
"Admin.pub. y defensa; p. segur.soc afil (038)",783,,203,333,227,20
"Enseñanza (039)",359,1,61,154,139,4
