"CUADRO Nº 6: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia ESPINAR (000)",22864,514,6818,7718,5865,1949
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (001)",31,,3,20,8,
"Profes., científicos e intelectuales (002)",1330,,329,686,307,8
"Técnicos de nivel medio y trab. asimilados (003)",561,1,227,230,98,5
"Jefes y empleados de oficina (004)",351,,154,136,60,1
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",2059,28,641,849,448,93
"Agricult. trabaj. calif.agrop. y pesqueros (006)",6975,40,1297,2101,2377,1160
"Obreros y oper.minas, cant.,ind.manuf. y otros (007)",1648,15,649,558,360,66
"Obreros construc., conf., papel, fab., instr. (008)",1811,6,627,764,384,30
"Trabaj.no calif. serv., peon, vend.,amb.,y afines (009)",7727,419,2754,2234,1756,564
"Otra (010)",54,,15,36,3,
"Ocupación no especificada (011)",317,5,122,104,64,22
"Hombres (012)",13426,278,3857,4586,3572,1133
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (013)",27,,2,19,6,
"Profes., científicos e intelectuales (014)",799,,149,402,240,8
"Técnicos de nivel medio y trab. asimilados (015)",395,1,152,165,74,3
"Jefes y empleados de oficina (016)",234,,81,96,56,1
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",648,13,210,235,152,38
"Agricult. trabaj. calif.agrop. y pesqueros (018)",4585,21,704,1405,1649,806
"Obreros y oper.minas, cant.,ind.manuf. y otros (019)",1406,13,554,483,313,43
"Obreros construc., conf., papel, fab., instr. (020)",1749,5,602,738,377,27
"Trabaj.no calif. serv., peon, vend.,amb.,y afines (021)",3360,221,1325,949,665,200
"Otra (022)",53,,14,36,3,
"Ocupación no especificada (023)",170,4,64,58,37,7
"Mujeres (024)",9438,236,2961,3132,2293,816
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (025)",4,,1,1,2,
"Profes., científicos e intelectuales (026)",531,,180,284,67,
"Técnicos de nivel medio y trab. asimilados (027)",166,,75,65,24,2
"Jefes y empleados de oficina (028)",117,,73,40,4,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",1411,15,431,614,296,55
"Agricult. trabaj. calif.agrop. y pesqueros (030)",2390,19,593,696,728,354
"Obreros y oper.minas, cant.,ind.manuf. y otros (031)",242,2,95,75,47,23
"Obreros construc., conf., papel, fab., instr. (032)",62,1,25,26,7,3
