"CUADRO Nº 21: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"CATEGORIA DE OCUPACION",,,,,,DESOCUPADO
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR",
,,,,,,,,
"Provincia HUANUCO (000)",94695,20760,12456,43549,1826,8128,2669,5307
"Agric., ganadería, caza y silvicultura (001)",30728,92,6126,17816,694,6000,,
"Pesca (002)",10,2,5,3,,,,
"Explotación de minas y canteras (003)",363,77,241,34,9,2,,
"Industrias manufactureras (004)",4607,273,996,3020,179,139,,
"Suministro de electricidad, gas y agua (005)",137,56,65,16,,,,
"Construcción (006)",4808,286,3084,1285,80,73,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",16009,2444,404,11346,456,1359,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",1705,220,280,1043,108,54,,
"Comercio al por mayor (009)",839,263,52,407,45,72,,
"Comercio al por menor (010)",13465,1961,72,9896,303,1233,,
"Hoteles y restaurantes (011)",3749,1132,191,2132,130,164,,
"Trans., almac. y comunicaciones (012)",6765,1499,499,4606,82,79,,
"Intermediación financiera (013)",393,375,1,17,,,,
"Activid.inmobil., empres. y alquileres (014)",3008,1776,75,1055,84,18,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",2896,2459,437,,,,,
"Enseñanza (016)",6955,6640,3,289,11,12,,
"Servicios sociales y de salud (017)",2113,1881,20,182,19,11,,
"Otras activ. serv.comun.soc y personales (018)",2235,920,125,1131,35,24,,
"Hogares privados con servicio doméstico (019)",2669,,,,,,2669,
"Actividad economica no especificada (021)",1943,848,184,617,47,247,,
"Desocupado (022)",5307,,,,,,,5307
"Hombres (023)",64069,11310,10889,32148,1379,4768,196,3379
"Agric., ganadería, caza y silvicultura (024)",26321,73,5240,16273,591,4144,,
"Pesca (025)",10,2,5,3,,,,
"Explotación de minas y canteras (026)",344,63,238,34,7,2,,
"Industrias manufactureras (027)",3457,182,854,2198,143,80,,
"Suministro de electricidad, gas y agua (028)",123,44,63,16,,,,
"Construcción (029)",4677,241,3022,1269,75,70,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (030)",7901,1391,391,5496,303,320,,
"Venta, mant.y rep. veh.autom.y motoc. (031)",1559,160,277,992,99,31,,
"Comercio al por mayor (032)",545,187,49,257,29,23,,
"Comercio al por menor (033)",5797,1044,65,4247,175,266,,
"Hoteles y restaurantes (034)",1159,517,99,443,58,42,,
"Trans., almac. y comunicaciones (035)",6271,1152,484,4519,67,49,,
"Intermediación financiera (036)",241,232,1,8,,,,
"Activid.inmobil., empres. y alquileres (037)",2132,1183,46,827,67,9,,
"Admin.pub. y defensa; p. segur.soc.afil (038)",1946,1686,260,,,,,
"Enseñanza (039)",3162,2996,3,154,6,3,,
"Servicios sociales y de salud (040)",777,664,3,98,11,1,,
"Otras activ. serv.comun.soc y personales (041)",1163,533,56,532,26,16,,
"Hogares privados con servicio doméstico (042)",196,,,,,,196,
"Actividad economica no especificada (044)",810,351,124,278,25,32,,
"Desocupado (045)",3379,,,,,,,3379
"Mujeres (046)",30626,9450,1567,11401,447,3360,2473,1928
"Agric., ganadería, caza y silvicultura (047)",4407,19,886,1543,103,1856,,
"Explotación de minas y canteras (049)",19,14,3,,2,,,
"Industrias manufactureras (050)",1150,91,142,822,36,59,,
"Suministro de electricidad, gas y agua (051)",14,12,2,,,,,
"Construcción (052)",131,45,62,16,5,3,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (053)",8108,1053,13,5850,153,1039,,
"Venta, mant.y rep. veh.autom.y motoc. (054)",146,60,3,51,9,23,,
"Comercio al por mayor (055)",294,76,3,150,16,49,,
"Comercio al por menor (056)",7668,917,7,5649,128,967,,
"Hoteles y restaurantes (057)",2590,615,92,1689,72,122,,
"Trans., almac. y comunicaciones (058)",494,347,15,87,15,30,,
"Intermediación financiera (059)",152,143,,9,,,,
"Activid.inmobil., empres. y alquileres (060)",876,593,29,228,17,9,,
"Admin.pub. y defensa; p. segur.soc.afil (061)",950,773,177,,,,,
"Enseñanza (062)",3793,3644,,135,5,9,,
"Servicios sociales y de salud (063)",1336,1217,17,84,8,10,,
"Otras activ. serv.comun.soc y personales (064)",1072,387,69,599,9,8,,
"Hogares privados con servicio doméstico (065)",2473,,,,,,2473,
"Actividad economica no especificada (067)",1133,497,60,339,22,215,,
,,,,,,,,
"URBANA (068)",61193,19996,6656,24908,1195,2582,2229,3627
"Agric., ganadería, caza y silvicultura (069)",4652,86,1213,2456,107,790,,
"Pesca (070)",8,2,5,1,,,,
"Explotación de minas y canteras (071)",329,77,220,23,7,2,,
"Industrias manufactureras (072)",3422,263,884,1987,170,118,,
"Suministro de electricidad, gas y agua (073)",113,53,47,13,,,,
"Construcción (074)",4119,282,2574,1148,73,42,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (075)",14621,2339,375,10206,443,1258,,
"Venta, mant.y rep. veh.autom.y motoc. (076)",1606,203,260,987,106,50,,
"Comercio al por mayor (077)",795,250,50,383,44,68,,
"Comercio al por menor (078)",12220,1886,65,8836,293,1140,,
"Hoteles y restaurantes (079)",3472,1083,171,1947,127,144,,
"Trans., almac. y comunicaciones (080)",6117,1415,406,4145,79,72,,
"Intermediación financiera (081)",387,370,,17,,,,
"Activid.inmobil., empres. y alquileres (082)",2909,1706,64,1042,81,16,,
"Admin.pub. y defensa; p. segur.soc.afil (083)",2784,2384,400,,,,,
"Enseñanza (084)",6714,6410,1,280,11,12,,
"Servicios sociales y de salud (085)",2028,1808,19,172,19,10,,
"Otras activ. serv.comun.soc y personales (086)",2113,898,112,1047,35,21,,
"Hogares privados con servicio doméstico (087)",2229,,,,,,2229,
"Actividad economica no especificada (089)",1549,820,165,424,43,97,,
"Desocupado (090)",3627,,,,,,,3627
"Hombres (091)",36905,10871,5796,16041,853,1008,151,2185
"Agric., ganadería, caza y silvicultura (092)",3717,69,986,2099,91,472,,
"Pesca (093)",8,2,5,1,,,,
"Explotación de minas y canteras (094)",311,63,218,23,5,2,,
"Industrias manufactureras (095)",2582,173,754,1440,140,75,,
"Suministro de electricidad, gas y agua (096)",99,41,45,13,,,,
"Construcción (097)",3991,237,2514,1133,68,39,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (098)",7353,1328,362,5075,297,291,,
"Venta, mant.y rep. veh.autom.y motoc. (099)",1466,147,257,938,97,27,,
"Comercio al por mayor (100)",520,177,47,248,28,20,,
"Comercio al por menor (101)",5367,1004,58,3889,172,244,,
"Hoteles y restaurantes (102)",1117,512,95,413,57,40,,
"Trans., almac. y comunicaciones (103)",5636,1074,392,4063,65,42,,
"Intermediación financiera (104)",236,228,,8,,,,
"Activid.inmobil., empres. y alquileres (105)",2053,1127,38,817,64,7,,
"Admin.pub. y defensa; p. segur.soc.afil (106)",1864,1641,223,,,,,
"Enseñanza (107)",3030,2872,1,148,6,3,,
"Servicios sociales y de salud (108)",745,637,2,94,11,1,,
"Otras activ. serv.comun.soc y personales (109)",1103,519,49,495,26,14,,
