"CUADRO Nº 6: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia CAJATAMBO (000)",2864,64,700,988,780,332
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (001)",17,,1,8,7,1
"Profes., científicos e intelectuales (002)",348,,56,225,66,1
"Técnicos de nivel medio y trab. asimilados (003)",46,,14,11,21,
"Jefes y empleados de oficina (004)",82,,28,30,22,2
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",210,3,47,72,62,26
"Agricult. trabaj. calif.agrop. y pesqueros (006)",974,11,154,289,335,185
"Obreros y oper.minas, cant.,ind.manuf. y otros (007)",165,3,61,54,38,9
"Obreros construc., conf., papel, fab., instr. (008)",90,,26,33,24,7
"Trabaj.no calif. serv., peon, vend.,amb.,y afines (009)",847,47,296,236,183,85
"Otra (010)",12,,1,10,1,
"Ocupación no especificada (011)",73,,16,20,21,16
"Hombres (012)",2085,37,516,705,578,249
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (013)",14,,,7,6,1
"Profes., científicos e intelectuales (014)",186,,25,120,41,
"Técnicos de nivel medio y trab. asimilados (015)",36,,11,7,18,
"Jefes y empleados de oficina (016)",45,,7,19,17,2
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",81,2,21,27,19,12
"Agricult. trabaj. calif.agrop. y pesqueros (018)",858,8,136,259,291,164
"Obreros y oper.minas, cant.,ind.manuf. y otros (019)",157,2,57,53,37,8
"Obreros construc., conf., papel, fab., instr. (020)",90,,26,33,24,7
"Trabaj.no calif. serv., peon, vend.,amb.,y afines (021)",571,25,224,157,118,47
"Otra (022)",11,,1,9,1,
"Ocupación no especificada (023)",36,,8,14,6,8
"Mujeres (024)",779,27,184,283,202,83
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (025)",3,,1,1,1,
"Profes., científicos e intelectuales (026)",162,,31,105,25,1
"Técnicos de nivel medio y trab. asimilados (027)",10,,3,4,3,
"Jefes y empleados de oficina (028)",37,,21,11,5,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",129,1,26,45,43,14
"Agricult. trabaj. calif.agrop. y pesqueros (030)",116,3,18,30,44,21
"Obreros y oper.minas, cant.,ind.manuf. y otros (031)",8,1,4,1,1,1
"Trabaj.no calif. serv., peon, vend.,amb.,y afines (033)",276,22,72,79,65,38
"Otra (034)",1,,,1,,
"Ocupación no especificada (035)",37,,8,6,15,8
,,,,,,
"URBANA (036)",1734,45,405,620,471,193
