"CUADRO Nº 6: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia ASCOPE (000)",37960,328,11205,14013,10956,1458
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (001)",71,,7,25,35,4
"Profes., científicos e intelectuales (002)",2598,,489,1254,830,25
"Técnicos de nivel medio y trab. asimilados (003)",1714,6,535,641,500,32
"Jefes y empleados de oficina (004)",1580,,524,567,479,10
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",5622,30,1330,2246,1699,317
"Agricult. trabaj. calif.agrop. y pesqueros (006)",3165,5,580,1017,1226,337
"Obreros y oper.minas, cant.,ind.manuf. y otros (007)",3583,19,973,1266,1216,109
"Obreros construc., conf., papel, fab., instr. (008)",4892,17,1739,1905,1128,103
"Trabaj.no calif. serv., peon, vend.,amb.,y afines (009)",13943,251,4818,4804,3610,460
"Otra (010)",127,,24,61,42,
"Ocupación no especificada (011)",665,,186,227,191,61
"Hombres (012)",27855,240,8396,10021,8118,1080
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (013)",48,,4,14,27,3
"Profes., científicos e intelectuales (014)",1255,,188,570,477,20
"Técnicos de nivel medio y trab. asimilados (015)",1163,5,337,445,353,23
"Jefes y empleados de oficina (016)",793,,172,296,315,10
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",2331,12,599,932,673,115
"Agricult. trabaj. calif.agrop. y pesqueros (018)",3019,5,549,968,1173,324
"Obreros y oper.minas, cant.,ind.manuf. y otros (019)",3241,16,900,1138,1085,102
"Obreros construc., conf., papel, fab., instr. (020)",4803,14,1697,1874,1115,103
"Trabaj.no calif. serv., peon, vend.,amb.,y afines (021)",10772,188,3839,3619,2775,351
"Otra (022)",124,,24,60,40,
"Ocupación no especificada (023)",306,,87,105,85,29
"Mujeres (024)",10105,88,2809,3992,2838,378
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (025)",23,,3,11,8,1
"Profes., científicos e intelectuales (026)",1343,,301,684,353,5
"Técnicos de nivel medio y trab. asimilados (027)",551,1,198,196,147,9
"Jefes y empleados de oficina (028)",787,,352,271,164,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",3291,18,731,1314,1026,202
"Agricult. trabaj. calif.agrop. y pesqueros (030)",146,,31,49,53,13
"Obreros y oper.minas, cant.,ind.manuf. y otros (031)",342,3,73,128,131,7
"Obreros construc., conf., papel, fab., instr. (032)",89,3,42,31,13,
