"CUADRO Nº 18: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia ANGARAES (000)",10766,1454,1873,5271,101,1990,77
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",27,26,,,1,,
"Profes., científicos e intelectuales (002)",851,766,,80,3,2,
"Técnicos de nivel medio y trab. asimilados (003)",209,119,,47,9,34,
"Jefes y empleados de oficina (004)",184,182,,2,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",617,105,4,398,26,84,
"Agricult.trabaj. calif.agrop. y pesqueros (006)",4142,28,1,3993,22,98,
"Obreros y oper.minas, cant., ind.manuf.y otros (007)",547,,412,106,18,11,
"Obreros construc.,conf., papel, fab., instr. (008)",417,34,196,157,11,19,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (009)",3214,71,1151,255,2,1658,77
"Otra (010)",40,40,,,,,
"Ocupación no especificada (011)",518,83,109,233,9,84,
"Hombres (012)",7785,897,1664,4112,69,1042,1
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",23,23,,,,,
"Profes., científicos e intelectuales (014)",487,439,,45,1,2,
"Técnicos de nivel medio y trab. asimilados (015)",114,75,,30,8,1,
"Jefes y empleados de oficina (016)",121,119,,2,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",230,53,3,145,16,13,
"Agricult.trabaj. calif.agrop. y pesqueros (018)",3555,28,,3425,13,89,
"Obreros y oper.minas, cant., ind.manuf.y otros (019)",515,,402,93,15,5,
"Obreros construc.,conf., papel, fab., instr. (020)",414,34,195,156,11,18,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (021)",1989,39,988,83,,878,1
"Otra (022)",40,40,,,,,
"Ocupación no especificada (023)",297,47,76,133,5,36,
"Mujeres (024)",2981,557,209,1159,32,948,76
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",4,3,,,1,,
"Profes., científicos e intelectuales (026)",364,327,,35,2,,
"Técnicos de nivel medio y trab. asimilados (027)",95,44,,17,1,33,
"Jefes y empleados de oficina (028)",63,63,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",387,52,1,253,10,71,
"Agricult.trabaj. calif.agrop. y pesqueros (030)",587,,1,568,9,9,
"Obreros y oper.minas, cant., ind.manuf.y otros (031)",32,,10,13,3,6,
"Obreros construc.,conf., papel, fab., instr. (032)",3,,1,1,,1,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (033)",1225,32,163,172,2,780,76
"Ocupación no especificada (035)",221,36,33,100,4,48,
,,,,,,,
"URBANA (036)",4607,1186,712,1980,78,593,58
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (037)",19,18,,,1,,
"Profes., científicos e intelectuales (038)",712,645,,62,3,2,
"Técnicos de nivel medio y trab. asimilados (039)",176,101,,36,6,33,
"Jefes y empleados de oficina (040)",155,153,,2,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (041)",512,79,4,327,25,77,
"Agricult.trabaj. calif.agrop. y pesqueros (042)",1136,1,,1120,10,5,
"Obreros y oper.minas, cant., ind.manuf.y otros (043)",267,,163,78,18,8,
"Obreros construc.,conf., papel, fab., instr. (044)",223,28,103,80,6,6,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (045)",1107,55,389,180,2,423,58
"Otra (046)",40,40,,,,,
"Ocupación no especificada (047)",260,66,53,95,7,39,
"Hombres (048)",2914,722,595,1360,51,185,1
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (049)",16,16,,,,,
"Profes., científicos e intelectuales (050)",398,358,,37,1,2,
"Técnicos de nivel medio y trab. asimilados (051)",90,62,,23,5,,
"Jefes y empleados de oficina (052)",102,100,,2,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (053)",192,48,3,116,15,10,
"Agricult.trabaj. calif.agrop. y pesqueros (054)",932,1,,923,6,2,
"Obreros y oper.minas, cant., ind.manuf.y otros (055)",242,,156,68,15,3,
"Obreros construc.,conf., papel, fab., instr. (056)",222,28,102,80,6,6,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (057)",544,32,302,60,,149,1
"Otra (058)",40,40,,,,,
"Ocupación no especificada (059)",136,37,32,51,3,13,
"Mujeres (060)",1693,464,117,620,27,408,57
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (061)",3,2,,,1,,
"Profes., científicos e intelectuales (062)",314,287,,25,2,,
"Técnicos de nivel medio y trab. asimilados (063)",86,39,,13,1,33,
"Jefes y empleados de oficina (064)",53,53,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (065)",320,31,1,211,10,67,
"Agricult.trabaj. calif.agrop. y pesqueros (066)",204,,,197,4,3,
"Obreros y oper.minas, cant., ind.manuf.y otros (067)",25,,7,10,3,5,
"Obreros construc.,conf., papel, fab., instr. (068)",1,,1,,,,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (069)",563,23,87,120,2,274,57
"Ocupación no especificada (071)",124,29,21,44,4,26,
,,,,,,,
"RURAL (072)",6159,268,1161,3291,23,1397,19
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (073)",8,8,,,,,
"Profes., científicos e intelectuales (074)",139,121,,18,,,
"Técnicos de nivel medio y trab. asimilados (075)",33,18,,11,3,1,
"Jefes y empleados de oficina (076)",29,29,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (077)",105,26,,71,1,7,
"Agricult.trabaj. calif.agrop. y pesqueros (078)",3006,27,1,2873,12,93,
"Obreros y oper.minas, cant., ind.manuf.y otros (079)",280,,249,28,,3,
"Obreros construc.,conf., papel, fab., instr. (080)",194,6,93,77,5,13,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (081)",2107,16,762,75,,1235,19
"Ocupación no especificada (083)",258,17,56,138,2,45,
"Hombres (084)",4871,175,1069,2752,18,857,
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (085)",7,7,,,,,
"Profes., científicos e intelectuales (086)",89,81,,8,,,
"Técnicos de nivel medio y trab. asimilados (087)",24,13,,7,3,1,
"Jefes y empleados de oficina (088)",19,19,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (089)",38,5,,29,1,3,
"Agricult.trabaj. calif.agrop. y pesqueros (090)",2623,27,,2502,7,87,
"Obreros y oper.minas, cant., ind.manuf.y otros (091)",273,,246,25,,2,
"Obreros construc.,conf., papel, fab., instr. (092)",192,6,93,76,5,12,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (093)",1445,7,686,23,,729,
"Ocupación no especificada (095)",161,10,44,82,2,23,
"Mujeres (096)",1288,93,92,539,5,540,19
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (097)",1,1,,,,,
"Profes., científicos e intelectuales (098)",50,40,,10,,,
"Técnicos de nivel medio y trab. asimilados (099)",9,5,,4,,,
"Jefes y empleados de oficina (100)",10,10,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (101)",67,21,,42,,4,
