"CUADRO Nº 19: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"CATEGORIA DE OCUPACION",,,,,,DESOCUPADO
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR",
,,,,,,,,
"Provincia UCAYALI (000)",21074,2757,3476,9592,599,3489,440,721
"Agric., ganadería, caza y silvicultura (001)",12047,16,2033,6691,394,2913,,
"Pesca (002)",754,,382,182,10,180,,
"Explotación de minas y canteras (003)",73,17,56,,,,,
"Industrias manufactureras (004)",922,16,312,522,43,29,,
"Suministro de electricidad, gas y agua (005)",22,5,11,3,,3,,
"Construcción (006)",319,17,234,61,6,1,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",1691,188,24,1182,68,229,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",111,12,16,73,4,6,,
"Comercio al por mayor (009)",66,18,4,29,4,11,,
"Comercio al por menor (010)",1514,158,4,1080,60,212,,
"Hoteles y restaurantes (011)",431,88,31,255,22,35,,
"Trans., almac. y comunicaciones (012)",565,89,153,288,19,16,,
"Intermediación financiera (013)",4,4,,,,,,
"Activid.inmobil., empres. y alquileres (014)",182,135,15,27,2,3,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",399,348,51,,,,,
"Enseñanza (016)",1474,1402,1,59,3,9,,
"Servicios sociales y de salud (017)",162,137,2,21,2,,,
"Otras activ. serv.comun.soc y personales (018)",185,78,29,68,1,9,,
"Hogares privados con servicio doméstico (019)",440,,,,,,440,
"Actividad economica no especificada (021)",683,217,142,233,29,62,,
"Desocupado (022)",721,,,,,,,721
"Hombres (023)",14923,1653,2755,7680,477,1751,37,570
"Agric., ganadería, caza y silvicultura (024)",9249,14,1471,5975,343,1446,,
"Pesca (025)",711,,359,175,10,167,,
"Explotación de minas y canteras (026)",72,17,55,,,,,
"Industrias manufactureras (027)",556,9,279,219,38,11,,
"Suministro de electricidad, gas y agua (028)",20,5,11,3,,1,,
"Construcción (029)",313,17,230,60,6,,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (030)",963,112,23,722,43,63,,
"Venta, mant.y rep. veh.autom.y motoc. (031)",107,11,16,73,4,3,,
"Comercio al por mayor (032)",44,14,4,22,3,1,,
"Comercio al por menor (033)",812,87,3,627,36,59,,
"Hoteles y restaurantes (034)",90,29,12,33,7,9,,
"Trans., almac. y comunicaciones (035)",539,77,149,279,18,16,,
"Intermediación financiera (036)",3,3,,,,,,
"Activid.inmobil., empres. y alquileres (037)",164,123,12,24,2,3,,
"Admin.pub. y defensa; p. segur.soc.afil (038)",308,275,33,,,,,
"Enseñanza (039)",770,731,1,30,2,6,,
"Servicios sociales y de salud (040)",83,66,,15,2,,,
"Otras activ. serv.comun.soc y personales (041)",108,53,21,27,1,6,,
"Hogares privados con servicio doméstico (042)",37,,,,,,37,
"Actividad economica no especificada (044)",367,122,99,118,5,23,,
"Desocupado (045)",570,,,,,,,570
"Mujeres (046)",6151,1104,721,1912,122,1738,403,151
"Agric., ganadería, caza y silvicultura (047)",2798,2,562,716,51,1467,,
"Pesca (048)",43,,23,7,,13,,
"Explotación de minas y canteras (049)",1,,1,,,,,
"Industrias manufactureras (050)",366,7,33,303,5,18,,
"Suministro de electricidad, gas y agua (051)",2,,,,,2,,
"Construcción (052)",6,,4,1,,1,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (053)",728,76,1,460,25,166,,
"Venta, mant.y rep. veh.autom.y motoc. (054)",4,1,,,,3,,
"Comercio al por mayor (055)",22,4,,7,1,10,,
"Comercio al por menor (056)",702,71,1,453,24,153,,
"Hoteles y restaurantes (057)",341,59,19,222,15,26,,
"Trans., almac. y comunicaciones (058)",26,12,4,9,1,,,
"Intermediación financiera (059)",1,1,,,,,,
"Activid.inmobil., empres. y alquileres (060)",18,12,3,3,,,,
"Admin.pub. y defensa; p. segur.soc.afil (061)",91,73,18,,,,,
"Enseñanza (062)",704,671,,29,1,3,,
"Servicios sociales y de salud (063)",79,71,2,6,,,,
"Otras activ. serv.comun.soc y personales (064)",77,25,8,41,,3,,
"Hogares privados con servicio doméstico (065)",403,,,,,,403,
"Actividad economica no especificada (067)",316,95,43,115,24,39,,
"Desocupado (068)",151,,,,,,,151
,,,,,,,,
"URBANA (069)",11877,2209,1820,5195,266,1638,301,448
"Agric., ganadería, caza y silvicultura (070)",5317,13,856,3035,141,1272,,
"Pesca (071)",291,,158,73,1,59,,
"Explotación de minas y canteras (072)",63,15,48,,,,,
"Industrias manufactureras (073)",502,14,185,265,22,16,,
"Suministro de electricidad, gas y agua (074)",18,4,11,3,,,,
"Construcción (075)",279,17,207,49,6,,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (076)",1397,168,21,962,51,195,,
"Venta, mant.y rep. veh.autom.y motoc. (077)",101,12,14,65,4,6,,
"Comercio al por mayor (078)",56,15,4,26,2,9,,
"Comercio al por menor (079)",1240,141,3,871,45,180,,
"Hoteles y restaurantes (080)",378,83,15,239,20,21,,
"Trans., almac. y comunicaciones (081)",502,77,120,271,19,15,,
"Intermediación financiera (082)",4,4,,,,,,
"Activid.inmobil., empres. y alquileres (083)",168,125,12,27,2,2,,
"Admin.pub. y defensa; p. segur.soc.afil (084)",387,340,47,,,,,
"Enseñanza (085)",1021,956,1,54,1,9,,
"Servicios sociales y de salud (086)",142,120,2,18,2,,,
"Otras activ. serv.comun.soc y personales (087)",159,67,22,61,,9,,
"Hogares privados con servicio doméstico (088)",301,,,,,,301,
"Actividad economica no especificada (090)",500,206,115,138,1,40,,
"Desocupado (091)",448,,,,,,,448
"Hombres (092)",8103,1328,1513,3944,202,766,27,323
"Agric., ganadería, caza y silvicultura (093)",4002,12,648,2631,116,595,,
"Pesca (094)",267,,143,70,1,53,,
"Explotación de minas y canteras (095)",62,15,47,,,,,
"Industrias manufactureras (096)",389,9,176,178,19,7,,
"Suministro de electricidad, gas y agua (097)",18,4,11,3,,,,
"Construcción (098)",276,17,204,49,6,,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (099)",769,101,21,561,29,57,,
"Venta, mant.y rep. veh.autom.y motoc. (100)",97,11,14,65,4,3,,
"Comercio al por mayor (101)",37,11,4,20,1,1,,
"Comercio al por menor (102)",635,79,3,476,24,53,,
"Hoteles y restaurantes (103)",82,27,9,32,7,7,,
"Trans., almac. y comunicaciones (104)",479,66,118,262,18,15,,
"Intermediación financiera (105)",3,3,,,,,,
"Activid.inmobil., empres. y alquileres (106)",151,114,9,24,2,2,,
"Admin.pub. y defensa; p. segur.soc.afil (107)",297,267,30,,,,,
"Enseñanza (108)",519,483,1,28,1,6,,
"Servicios sociales y de salud (109)",67,53,,12,2,,,
"Otras activ. serv.comun.soc y personales (110)",90,43,16,25,,6,,
"Hogares privados con servicio doméstico (111)",27,,,,,,27,
"Actividad economica no especificada (113)",282,114,80,69,1,18,,
"Desocupado (114)",323,,,,,,,323
"Mujeres (115)",3774,881,307,1251,64,872,274,125
"Agric., ganadería, caza y silvicultura (116)",1315,1,208,404,25,677,,
