"CUADRO Nº 7: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia HUALGAYOC (000)",42533,890,15731,13140,9194,3578
"Agric., ganadería, caza y silvicultura (001)",26445,564,8955,7558,6397,2971
"Pesca (002)",4,,,2,1,1
"Explotación de minas y canteras (003)",1395,2,553,632,201,7
"Industrias manufactureras (004)",8718,216,4194,2601,1344,363
"Suministro de electricidad, gas y agua (005)",21,,7,7,7,
"Construcción (006)",477,5,183,168,114,7
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",1630,53,467,586,408,116
"Venta, mant.y rep. veh.autom.y motoc. (008)",71,1,33,24,11,2
"Comercio al por mayor (009)",45,2,4,20,15,4
"Comercio al por menor (010)",1514,50,430,542,382,110
"Hoteles y restaurantes (011)",303,14,133,68,71,17
"Trans., almac. y comunicaciones (012)",551,1,302,186,56,6
"Intermediación financiera (013)",13,,5,3,5,
"Activid.inmobil., empres. y alquileres (014)",127,,57,52,17,1
"Admin.pub. y defensa; p. segur.soc.afil (015)",283,,65,112,98,8
"Enseñanza (016)",1273,,270,764,233,6
"Servicios sociales y de salud (017)",211,,78,112,18,3
"Otras activ. serv.comun.soc y personales (018)",238,14,82,70,53,19
"Hogares privados con servicio doméstico (019)",412,21,216,89,70,16
"Actividad economica no especificada (021)",432,,164,130,101,37
"Hombres (022)",23176,395,8072,7334,5244,2131
"Agric., ganadería, caza y silvicultura (023)",16913,303,5831,4829,4044,1906
"Pesca (024)",1,,,1,,
"Explotación de minas y canteras (025)",1259,2,464,588,199,6
"Industrias manufactureras (026)",1689,34,684,569,299,103
"Suministro de electricidad, gas y agua (027)",19,,6,7,6,
"Construcción (028)",464,5,178,160,114,7
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",779,35,208,278,195,63
"Venta, mant.y rep. veh.autom.y motoc. (030)",67,1,31,23,10,2
"Comercio al por mayor (031)",30,1,,14,12,3
"Comercio al por menor (032)",682,33,177,241,173,58
"Hoteles y restaurantes (033)",75,4,33,18,18,2
"Trans., almac. y comunicaciones (034)",536,1,293,181,55,6
"Intermediación financiera (035)",9,,3,2,4,
"Activid.inmobil., empres. y alquileres (036)",92,,35,39,17,1
"Admin.pub. y defensa; p. segur.soc.afil (037)",230,,47,92,83,8
"Enseñanza (038)",692,,131,418,138,5
"Servicios sociales y de salud (039)",108,,27,65,13,3
"Otras activ. serv.comun.soc y personales (040)",117,10,51,32,17,7
