"CUADRO Nº 31: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 14 Y MÁS AÑOS DE EDAD, POR OCUPACIÓN PRINCIPAL, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,,,,,
,,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"OCUPACION PRINCIPAL",,,,,,,,,,,DESOCU-PADO
,,"MIEMBROS PODER EJEC. Y LEGIS., DIRECT. ADM., PUB.Y EMP.","PROFES., CIENTÍFI-COS E INTELEC-TUALES","TÉCNICOS DE NIVEL MEDIO Y TRABAJ. ASIMIL","JEFES Y EMPLEA-DOS DE OFICINA","TRAB. DE. SERV. PERS. Y VEND. DEL COMERCIO Y MCDO.","AGRICULT. TRABAJ. CALIFICA-DO., AGROP. Y PESQUE-ROS.","OBREROS Y OPER. MINAS, CANTERAS, IND. MANUF. Y OTROS","OBR. CONST. CONF. PAPEL Y CARTÓN, FAB. INSTR. MUSI-CALES. Y AFINES","TRABAJ. NO CALIF. SERV. PEON, VEND. AMBU-LANTE Y AFINES",OTRA,"OCUPA-CIÓN NO ESPECI-FICADA",
,,,,,,,,,,,,,
"Provincia HUANUCO (000)",94695,198,10512,3498,3073,13408,18485,5451,8738,24223,451,1351,5307
"Agric., ganadería, caza y silvicultura (001)",30728,,72,28,6,,18481,2,9,12130,,,
"Pesca (002)",10,,,2,,,4,,,4,,,
"Explotación de minas y canteras (003)",363,,38,22,18,2,,203,18,62,,,
"Industrias manufactureras (004)",4607,6,71,173,59,83,,3564,580,71,,,
"Suministro de electricidad, gas y agua (005)",137,,17,14,22,,,32,7,45,,,
"Construcción (006)",4808,2,282,161,36,,,224,2773,1330,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (007)",16009,9,101,426,102,10393,,1382,150,3446,,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",1705,4,16,77,16,334,,1100,133,25,,,
"Comercio al por mayor (009)",839,5,20,59,24,661,,1,8,61,,,
"Comercio al por menor (010)",13465,,65,290,62,9398,,281,9,3360,,,
"Hoteles y restaurantes (011)",3749,,26,176,110,2090,,,,1347,,,
"Trans., almac. y comunicaciones (012)",6765,4,52,213,233,21,,7,5082,1153,,,
"Intermediación financiera (013)",393,4,61,85,223,,,,1,19,,,
"Activid.inmobil., empres. y alquileres (014)",3008,2,1260,675,422,345,,12,33,259,,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",2896,76,590,206,904,79,,7,67,516,451,,
"Enseñanza (016)",6955,93,6484,45,246,,,2,4,81,,,
"Servicios sociales y de salud (017)",2113,,1167,588,198,49,,4,10,97,,,
"Otras activ. serv.comun.soc y personales (018)",2235,2,162,576,143,343,,12,3,994,,,
"Hogares privados con servicio doméstico (019)",2669,,1,1,,2,,,1,2664,,,
"Actividad economica no especificada (021)",1943,,128,107,351,1,,,,5,,1351,
"Desocupado (022)",5307,,,,,,,,,,,,5307
"Hombres (023)",64069,132,5392,2393,1460,5867,16844,4530,8513,14560,412,587,3379
"Agric., ganadería, caza y silvicultura (024)",26321,,64,22,4,,16840,2,8,9381,,,
"Pesca (025)",10,,,2,,,4,,,4,,,
"Explotación de minas y canteras (026)",344,,35,18,13,,,200,18,60,,,
"Industrias manufactureras (027)",3457,5,53,119,32,62,,2684,450,52,,,
"Suministro de electricidad, gas y agua (028)",123,,13,14,14,,,32,7,43,,,
"Construcción (029)",4677,1,258,153,16,,,220,2737,1292,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (030)",7901,6,59,307,51,4636,,1356,147,1339,,,
"Venta, mant.y rep. veh.autom.y motoc. (031)",1559,3,11,64,7,235,,1085,130,24,,,
"Comercio al por mayor (032)",545,3,11,45,14,408,,1,8,55,,,
"Comercio al por menor (033)",5797,,37,198,30,3993,,270,9,1260,,,
"Hoteles y restaurantes (034)",1159,,13,103,60,652,,,,331,,,
"Trans., almac. y comunicaciones (035)",6271,4,33,142,128,5,,5,5030,924,,,
"Intermediación financiera (036)",241,2,39,51,132,,,,1,16,,,
"Activid.inmobil., empres. y alquileres (037)",2132,1,894,518,215,334,,12,32,126,,,
"Admin.pub. y defensa; p. segur.soc.afil (038)",1946,50,389,139,501,76,,7,65,307,412,,
"Enseñanza (039)",3162,61,2918,26,91,,,2,4,60,,,
"Servicios sociales y de salud (040)",777,,431,227,56,10,,3,10,40,,,
"Otras activ. serv.comun.soc y personales (041)",1163,2,118,487,68,91,,7,3,387,,,
"Hogares privados con servicio doméstico (042)",196,,,,,1,,,1,194,,,
"Actividad economica no especificada (044)",810,,75,65,79,,,,,4,,587,
"Desocupado (045)",3379,,,,,,,,,,,,3379
"Mujeres (046)",30626,66,5120,1105,1613,7541,1641,921,225,9663,39,764,1928
"Agric., ganadería, caza y silvicultura (047)",4407,,8,6,2,,1641,,1,2749,,,
"Explotación de minas y canteras (049)",19,,3,4,5,2,,3,,2,,,
"Industrias manufactureras (050)",1150,1,18,54,27,21,,880,130,19,,,
"Suministro de electricidad, gas y agua (051)",14,,4,,8,,,,,2,,,
"Construcción (052)",131,1,24,8,20,,,4,36,38,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (053)",8108,3,42,119,51,5757,,26,3,2107,,,
"Venta, mant.y rep. veh.autom.y motoc. (054)",146,1,5,13,9,99,,15,3,1,,,
"Comercio al por mayor (055)",294,2,9,14,10,253,,,,6,,,
"Comercio al por menor (056)",7668,,28,92,32,5405,,11,,2100,,,
"Hoteles y restaurantes (057)",2590,,13,73,50,1438,,,,1016,,,
"Trans., almac. y comunicaciones (058)",494,,19,71,105,16,,2,52,229,,,
"Intermediación financiera (059)",152,2,22,34,91,,,,,3,,,
"Activid.inmobil., empres. y alquileres (060)",876,1,366,157,207,11,,,1,133,,,
"Admin.pub. y defensa; p. segur.soc.afil (061)",950,26,201,67,403,3,,,2,209,39,,
"Enseñanza (062)",3793,32,3566,19,155,,,,,21,,,
"Servicios sociales y de salud (063)",1336,,736,361,142,39,,1,,57,,,
"Otras activ. serv.comun.soc y personales (064)",1072,,44,89,75,252,,5,,607,,,
"Hogares privados con servicio doméstico (065)",2473,,1,1,,1,,,,2470,,,
"Actividad economica no especificada (067)",1133,,53,42,272,1,,,,1,,764,
"Desocupado (068)",1928,,,,,,,,,,,,1928
,,,,,,,,,,,,,
"URBANA (069)",61193,185,10224,3395,2986,12397,2538,4480,7404,12546,445,966,3627
"Agric., ganadería, caza y silvicultura (070)",4652,,70,24,6,,2536,2,3,2011,,,
"Pesca (071)",8,,,2,,,2,,,4,,,
"Explotación de minas y canteras (072)",329,,38,22,18,2,,180,15,54,,,
"Industrias manufactureras (073)",3422,6,71,168,57,73,,2715,263,69,,,
"Suministro de electricidad, gas y agua (074)",113,,17,13,21,,,24,6,32,,,
"Construcción (075)",4119,2,276,159,36,,,218,2342,1086,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (076)",14621,9,101,415,99,9599,,1302,138,2958,,,
"Venta, mant.y rep. veh.autom.y motoc. (077)",1606,4,16,76,15,311,,1040,121,23,,,
"Comercio al por mayor (078)",795,5,20,58,24,621,,1,8,58,,,
"Comercio al por menor (079)",12220,,65,281,60,8667,,261,9,2877,,,
"Hoteles y restaurantes (080)",3472,,25,171,108,1937,,,,1231,,,
"Trans., almac. y comunicaciones (081)",6117,4,50,212,228,18,,7,4528,1070,,,
"Intermediación financiera (082)",387,4,61,84,223,,,,1,14,,,
"Activid.inmobil., empres. y alquileres (083)",2909,2,1241,664,410,314,,11,28,239,,,
"Admin.pub. y defensa; p. segur.soc.afil (084)",2784,66,584,204,871,72,,5,64,473,445,,
"Enseñanza (085)",6714,90,6277,45,230,,,1,4,67,,,
"Servicios sociales y de salud (086)",2028,,1125,557,195,47,,3,10,91,,,
"Otras activ. serv.comun.soc y personales (087)",2113,2,160,547,141,332,,12,1,918,,,
"Hogares privados con servicio doméstico (088)",2229,,1,1,,2,,,1,2224,,,
"Actividad economica no especificada (090)",1549,,127,107,343,1,,,,5,,966,
"Desocupado (091)",3627,,,,,,,,,,,,3627
"Hombres (092)",36905,123,5248,2326,1416,5485,2170,3841,7208,5994,407,502,2185
"Agric., ganadería, caza y silvicultura (093)",3717,,62,19,4,,2168,2,2,1460,,,
"Pesca (094)",8,,,2,,,2,,,4,,,
"Explotación de minas y canteras (095)",311,,35,18,13,,,177,15,53,,,
"Industrias manufactureras (096)",2582,5,53,115,31,54,,2117,156,51,,,
"Suministro de electricidad, gas y agua (097)",99,,13,13,13,,,24,6,30,,,
"Construcción (098)",3991,1,252,151,16,,,214,2308,1049,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (099)",7353,6,59,300,51,4326,,1276,135,1200,,,
"Venta, mant.y rep. veh.autom.y motoc. (100)",1466,3,11,64,7,216,,1025,118,22,,,
"Comercio al por mayor (101)",520,3,11,44,14,387,,1,8,52,,,
"Comercio al por menor (102)",5367,,37,192,30,3723,,250,9,1126,,,
"Hoteles y restaurantes (103)",1117,,13,101,60,629,,,,314,,,
"Trans., almac. y comunicaciones (104)",5636,4,31,141,126,4,,5,4480,845,,,
"Intermediación financiera (105)",236,2,39,51,132,,,,1,11,,,
"Activid.inmobil., empres. y alquileres (106)",2053,1,880,509,207,303,,11,27,115,,,
"Admin.pub. y defensa; p. segur.soc.afil (107)",1864,44,385,137,488,69,,5,62,267,407,,
"Enseñanza (108)",3030,58,2818,26,76,,,1,4,47,,,
"Servicios sociales y de salud (109)",745,,416,219,53,10,,2,10,35,,,
"Otras activ. serv.comun.soc y personales (110)",1103,2,117,459,68,89,,7,1,360,,,
"Hogares privados con servicio doméstico (111)",151,,,,,1,,,1,149,,,
"Actividad economica no especificada (113)",724,,75,65,78,,,,,4,,502,
"Desocupado (114)",2185,,,,,,,,,,,,2185
"Mujeres (115)",24288,62,4976,1069,1570,6912,368,639,196,6552,38,464,1442
"Agric., ganadería, caza y silvicultura (116)",935,,8,5,2,,368,,1,551,,,
"Explotación de minas y canteras (118)",18,,3,4,5,2,,3,,1,,,
"Industrias manufactureras (119)",840,1,18,53,26,19,,598,107,18,,,
"Suministro de electricidad, gas y agua (120)",14,,4,,8,,,,,2,,,
"Construcción (121)",128,1,24,8,20,,,4,34,37,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (122)",7268,3,42,115,48,5273,,26,3,1758,,,
"Venta, mant.y rep. veh.autom.y motoc. (123)",140,1,5,12,8,95,,15,3,1,,,
"Comercio al por mayor (124)",275,2,9,14,10,234,,,,6,,,
"Comercio al por menor (125)",6853,,28,89,30,4944,,11,,1751,,,
"Hoteles y restaurantes (126)",2355,,12,70,48,1308,,,,917,,,
"Trans., almac. y comunicaciones (127)",481,,19,71,102,14,,2,48,225,,,
"Intermediación financiera (128)",151,2,22,33,91,,,,,3,,,
"Activid.inmobil., empres. y alquileres (129)",856,1,361,155,203,11,,,1,124,,,
"Admin.pub. y defensa; p. segur.soc.afil (130)",920,22,199,67,383,3,,,2,206,38,,
"Enseñanza (131)",3684,32,3459,19,154,,,,,20,,,
"Servicios sociales y de salud (132)",1283,,709,338,142,37,,1,,56,,,
"Otras activ. serv.comun.soc y personales (133)",1010,,43,88,73,243,,5,,558,,,
"Hogares privados con servicio doméstico (134)",2078,,1,1,,1,,,,2075,,,
"Actividad economica no especificada (136)",825,,52,42,265,1,,,,1,,464,
