"CUADRO Nº 31: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 14 Y MÁS AÑOS DE EDAD, POR OCUPACIÓN PRINCIPAL, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,,,,,
,,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"OCUPACION PRINCIPAL",,,,,,,,,,,DESOCU-PADO
,,"MIEMBROS PODER EJEC. Y LEGIS., DIRECT. ADM., PUB.Y EMP.","PROFES., CIENTÍFI-COS E INTELEC-TUALES","TÉCNICOS DE NIVEL MEDIO Y TRABAJ. ASIMIL","JEFES Y EMPLEA-DOS DE OFICINA","TRAB. DE. SERV. PERS. Y VEND. DEL COMERCIO Y MCDO.","AGRICULT. TRABAJ. CALIFICA-DO., AGROP. Y PESQUE-ROS.","OBREROS Y OPER. MINAS, CANTERAS, IND. MANUF. Y OTROS","OBR. CONST. CONF. PAPEL Y CARTÓN, FAB. INSTR. MUSI-CALES. Y AFINES","TRABAJ. NO CALIF. SERV. PEON, VEND. AMBU-LANTE Y AFINES",OTRA,"OCUPA-CIÓN NO ESPECI-FICADA",
,,,,,,,,,,,,,
"Provincia SULLANA (000)",98431,163,8022,4104,3002,16446,11288,7532,11190,28181,826,2105,5572
"Agric., ganadería, caza y silvicultura (001)",24264,1,65,97,33,,11166,12,35,12855,,,
"Pesca (002)",382,1,8,8,4,,122,6,8,225,,,
"Explotación de minas y canteras (003)",297,1,36,16,12,,,145,8,79,,,
"Industrias manufactureras (004)",6711,1,82,272,171,35,,5025,399,726,,,
"Suministro de electricidad, gas y agua (005)",242,,13,29,36,,,49,50,65,,,
"Construcción (006)",4328,,89,157,28,,,323,2617,1114,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (007)",21416,4,119,735,184,13275,,1867,261,4971,,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",2013,,20,62,19,245,,1467,140,60,,,
"Comercio al por mayor (009)",1190,3,27,142,57,744,,2,22,193,,,
"Comercio al por menor (010)",18213,1,72,531,108,12286,,398,99,4718,,,
"Hoteles y restaurantes (011)",3823,3,22,123,166,2038,,8,7,1456,,,
"Trans., almac. y comunicaciones (012)",9265,4,26,156,224,5,,22,7591,1237,,,
"Intermediación financiera (013)",369,2,35,85,218,,,,,29,,,
"Activid.inmobil., empres. y alquileres (014)",3631,3,659,875,623,568,,41,123,739,,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",2489,43,176,221,687,136,,5,59,336,826,,
"Enseñanza (016)",6284,95,5943,58,118,,,1,1,68,,,
"Servicios sociales y de salud (017)",1550,,556,751,115,39,,7,11,71,,,
"Otras activ. serv.comun.soc y personales (018)",3335,5,180,463,162,349,,21,17,2138,,,
"Hogares privados con servicio doméstico (019)",2063,,,5,,1,,,,2057,,,
"Actividad economica no especificada (021)",2410,,13,53,221,,,,3,15,,2105,
"Desocupado (022)",5572,,,,,,,,,,,,5572
"Hombres (023)",72001,100,3368,2562,1517,8578,10953,6495,10978,21417,792,1113,4128
"Agric., ganadería, caza y silvicultura (024)",23064,1,55,80,23,,10834,11,35,12025,,,
"Pesca (025)",344,1,7,5,3,,119,6,5,198,,,
"Explotación de minas y canteras (026)",286,1,33,14,10,,,142,8,78,,,
"Industrias manufactureras (027)",5295,1,65,202,114,24,,4036,307,546,,,
"Suministro de electricidad, gas y agua (028)",222,,12,26,25,,,48,50,61,,,
"Construcción (029)",4241,,84,151,23,,,315,2591,1077,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (030)",13198,3,87,413,90,7138,,1843,258,3366,,,
"Venta, mant.y rep. veh.autom.y motoc. (031)",1909,,17,46,7,188,,1455,140,56,,,
"Comercio al por mayor (032)",824,2,19,79,37,491,,2,21,173,,,
"Comercio al por menor (033)",10465,1,51,288,46,6459,,386,97,3137,,,
"Hoteles y restaurantes (034)",1147,2,13,56,68,589,,8,6,405,,,
"Trans., almac. y comunicaciones (035)",8957,4,17,100,151,2,,20,7520,1143,,,
"Intermediación financiera (036)",209,2,25,43,119,,,,,20,,,
"Activid.inmobil., empres. y alquileres (037)",2754,2,475,628,316,561,,38,116,618,,,
"Admin.pub. y defensa; p. segur.soc.afil (038)",1879,30,109,135,372,122,,5,50,264,792,,
"Enseñanza (039)",2195,49,2022,31,47,,,1,1,44,,,
"Servicios sociales y de salud (040)",560,,211,245,44,11,,5,11,33,,,
"Otras activ. serv.comun.soc y personales (041)",2211,4,143,395,65,131,,17,17,1439,,,
"Hogares privados con servicio doméstico (042)",93,,,,,,,,,93,,,
"Actividad economica no especificada (044)",1218,,10,38,47,,,,3,7,,1113,
"Desocupado (045)",4128,,,,,,,,,,,,4128
"Mujeres (046)",26430,63,4654,1542,1485,7868,335,1037,212,6764,34,992,1444
"Agric., ganadería, caza y silvicultura (047)",1200,,10,17,10,,332,1,,830,,,
"Pesca (048)",38,,1,3,1,,3,,3,27,,,
"Explotación de minas y canteras (049)",11,,3,2,2,,,3,,1,,,
"Industrias manufactureras (050)",1416,,17,70,57,11,,989,92,180,,,
"Suministro de electricidad, gas y agua (051)",20,,1,3,11,,,1,,4,,,
"Construcción (052)",87,,5,6,5,,,8,26,37,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (053)",8218,1,32,322,94,6137,,24,3,1605,,,
"Venta, mant.y rep. veh.autom.y motoc. (054)",104,,3,16,12,57,,12,,4,,,
"Comercio al por mayor (055)",366,1,8,63,20,253,,,1,20,,,
"Comercio al por menor (056)",7748,,21,243,62,5827,,12,2,1581,,,
"Hoteles y restaurantes (057)",2676,1,9,67,98,1449,,,1,1051,,,
"Trans., almac. y comunicaciones (058)",308,,9,56,73,3,,2,71,94,,,
"Intermediación financiera (059)",160,,10,42,99,,,,,9,,,
"Activid.inmobil., empres. y alquileres (060)",877,1,184,247,307,7,,3,7,121,,,
"Admin.pub. y defensa; p. segur.soc.afil (061)",610,13,67,86,315,14,,,9,72,34,,
"Enseñanza (062)",4089,46,3921,27,71,,,,,24,,,
"Servicios sociales y de salud (063)",990,,345,506,71,28,,2,,38,,,
"Otras activ. serv.comun.soc y personales (064)",1124,1,37,68,97,218,,4,,699,,,
"Hogares privados con servicio doméstico (065)",1970,,,5,,1,,,,1964,,,
"Actividad economica no especificada (067)",1192,,3,15,174,,,,,8,,992,
"Desocupado (068)",1444,,,,,,,,,,,,1444
,,,,,,,,,,,,,
"URBANA (069)",89448,153,7919,4039,2958,16090,8502,7363,10958,23780,787,1847,5052
"Agric., ganadería, caza y silvicultura (070)",17630,1,63,91,28,,8408,12,32,8995,,,
"Pesca (071)",293,1,7,8,4,,94,4,8,167,,,
"Explotación de minas y canteras (072)",267,1,34,15,12,,,129,8,68,,,
"Industrias manufactureras (073)",6562,1,81,269,168,35,,4915,397,696,,,
"Suministro de electricidad, gas y agua (074)",227,,13,29,35,,,45,45,60,,,
"Construcción (075)",4259,,89,157,28,,,318,2573,1094,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (076)",20996,4,116,723,176,13007,,1839,257,4874,,,
"Venta, mant.y rep. veh.autom.y motoc. (077)",1985,,20,62,19,243,,1445,139,57,,,
"Comercio al por mayor (078)",1148,3,26,139,49,726,,2,21,182,,,
"Comercio al por menor (079)",17863,1,70,522,108,12038,,392,97,4635,,,
"Hoteles y restaurantes (080)",3728,3,22,122,165,1984,,8,7,1417,,,
"Trans., almac. y comunicaciones (081)",9065,4,26,156,222,4,,21,7425,1207,,,
"Intermediación financiera (082)",367,1,35,84,218,,,,,29,,,
"Activid.inmobil., empres. y alquileres (083)",3552,3,657,870,617,540,,39,116,710,,,
"Admin.pub. y defensa; p. segur.soc.afil (084)",2416,38,174,215,677,135,,5,58,327,787,,
"Enseñanza (085)",6189,91,5861,54,114,,,1,1,67,,,
"Servicios sociales y de salud (086)",1523,,550,731,115,39,,7,11,70,,,
"Otras activ. serv.comun.soc y personales (087)",3225,5,178,458,158,345,,20,17,2044,,,
"Hogares privados con servicio doméstico (088)",1947,,,5,,1,,,,1941,,,
"Actividad economica no especificada (090)",2150,,13,52,221,,,,3,14,,1847,
"Desocupado (091)",5052,,,,,,,,,,,,5052
"Hombres (092)",64061,94,3324,2529,1486,8396,8247,6355,10749,17540,753,913,3675
"Agric., ganadería, caza y silvicultura (093)",16818,1,53,75,19,,8156,11,32,8471,,,
"Pesca (094)",259,1,6,5,3,,91,4,5,144,,,
"Explotación de minas y canteras (095)",259,1,31,14,10,,,128,8,67,,,
"Industrias manufactureras (096)",5181,1,65,201,111,24,,3952,305,522,,,
"Suministro de electricidad, gas y agua (097)",207,,12,26,24,,,44,45,56,,,
"Construcción (098)",4176,,84,151,23,,,310,2549,1059,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (099)",12945,3,85,407,82,6996,,1815,254,3303,,,
"Venta, mant.y rep. veh.autom.y motoc. (100)",1881,,17,46,7,186,,1433,139,53,,,
"Comercio al por mayor (101)",789,2,18,78,29,478,,2,20,162,,,
"Comercio al por menor (102)",10275,1,50,283,46,6332,,380,95,3088,,,
"Hoteles y restaurantes (103)",1136,2,13,56,68,580,,8,6,403,,,
"Trans., almac. y comunicaciones (104)",8760,4,17,100,150,1,,19,7355,1114,,,
"Intermediación financiera (105)",208,1,25,43,119,,,,,20,,,
"Activid.inmobil., empres. y alquileres (106)",2685,2,473,624,313,533,,37,109,594,,,
"Admin.pub. y defensa; p. segur.soc.afil (107)",1813,26,107,131,364,121,,5,49,257,753,,
"Enseñanza (108)",2159,48,1992,28,45,,,1,1,44,,,
"Servicios sociales y de salud (109)",553,,209,240,44,11,,5,11,33,,,
"Otras activ. serv.comun.soc y personales (110)",2127,4,142,390,64,130,,16,17,1364,,,
"Hogares privados con servicio doméstico (111)",83,,,,,,,,,83,,,
"Actividad economica no especificada (113)",1017,,10,38,47,,,,3,6,,913,
"Desocupado (114)",3675,,,,,,,,,,,,3675
"Mujeres (115)",25387,59,4595,1510,1472,7694,255,1008,209,6240,34,934,1377
"Agric., ganadería, caza y silvicultura (116)",812,,10,16,9,,252,1,,524,,,
"Pesca (117)",34,,1,3,1,,3,,3,23,,,
"Explotación de minas y canteras (118)",8,,3,1,2,,,1,,1,,,
"Industrias manufactureras (119)",1381,,16,68,57,11,,963,92,174,,,
"Suministro de electricidad, gas y agua (120)",20,,1,3,11,,,1,,4,,,
"Construcción (121)",83,,5,6,5,,,8,24,35,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (122)",8051,1,31,316,94,6011,,24,3,1571,,,
"Venta, mant.y rep. veh.autom.y motoc. (123)",104,,3,16,12,57,,12,,4,,,
"Comercio al por mayor (124)",359,1,8,61,20,248,,,1,20,,,
"Comercio al por menor (125)",7588,,20,239,62,5706,,12,2,1547,,,
"Hoteles y restaurantes (126)",2592,1,9,66,97,1404,,,1,1014,,,
"Trans., almac. y comunicaciones (127)",305,,9,56,72,3,,2,70,93,,,
"Intermediación financiera (128)",159,,10,41,99,,,,,9,,,
"Activid.inmobil., empres. y alquileres (129)",867,1,184,246,304,7,,2,7,116,,,
"Admin.pub. y defensa; p. segur.soc.afil (130)",603,12,67,84,313,14,,,9,70,34,,
"Enseñanza (131)",4030,43,3869,26,69,,,,,23,,,
"Servicios sociales y de salud (132)",970,,341,491,71,28,,2,,37,,,
