"CUADRO Nº 27: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia OYON (000)",7550,1588,2826,2463,85,510,78
"Sin nivel (001)",354,17,84,199,4,44,6
"Educación inicial (002)",7,2,2,1,,2,
"Primaria (003)",1736,89,548,869,14,190,26
"Secundaria (004)",2944,367,1448,860,30,202,37
"Superior no univ. incompleta (005)",551,143,235,142,5,21,5
"Superior no univ. completa (006)",630,238,231,138,6,15,2
"Superior univ. incompleta (007)",325,100,109,99,7,9,1
"Superior univ. completa (008)",1003,632,169,155,19,27,1
"Hombres (010)",5609,1063,2545,1694,66,234,7
"Sin nivel (011)",116,8,40,57,3,7,1
"Educación inicial (012)",4,1,2,,,1,
"Primaria (013)",1182,44,446,599,11,81,1
"Secundaria (014)",2407,270,1356,645,22,109,5
"Superior no univ. incompleta (015)",445,103,218,110,5,9,
"Superior no univ. completa (016)",497,164,223,102,5,3,
"Superior univ. incompleta (017)",273,73,106,84,5,5,
"Superior univ. completa (018)",685,400,154,97,15,19,
"Mujeres (020)",1941,525,281,769,19,276,71
"Sin nivel (021)",238,9,44,142,1,37,5
"Educación inicial (022)",3,1,,1,,1,
"Primaria (023)",554,45,102,270,3,109,25
"Secundaria (024)",537,97,92,215,8,93,32
"Superior no univ. incompleta (025)",106,40,17,32,,12,5
"Superior no univ. completa (026)",133,74,8,36,1,12,2
"Superior univ. incompleta (027)",52,27,3,15,2,4,1
"Superior univ. completa (028)",318,232,15,58,4,8,1
,,,,,,,
"URBANA (030)",4175,955,1315,1585,45,217,58
"Sin nivel (031)",202,15,48,119,4,12,4
"Educación inicial (032)",5,,2,1,,2,
"Primaria (033)",910,67,263,490,4,68,18
"Secundaria (034)",1723,247,751,578,16,102,29
"Superior no univ. incompleta (035)",279,76,89,92,3,16,3
"Superior no univ. completa (036)",316,122,59,123,4,6,2
"Superior univ. incompleta (037)",168,50,41,67,4,5,1
"Superior univ. completa (038)",572,378,62,115,10,6,1
"Hombres (040)",2889,548,1188,1022,31,96,4
"Sin nivel (041)",54,6,15,27,3,3,
"Educación inicial (042)",3,,2,,,1,
"Primaria (043)",601,31,225,312,2,30,1
"Secundaria (044)",1342,158,711,409,10,51,3
"Superior no univ. incompleta (045)",205,49,82,65,3,6,
"Superior no univ. completa (046)",222,68,57,92,4,1,
"Superior univ. incompleta (047)",130,33,39,54,2,2,
"Superior univ. completa (048)",332,203,57,63,7,2,
"Mujeres (050)",1286,407,127,563,14,121,54
"Sin nivel (051)",148,9,33,92,1,9,4
"Educación inicial (052)",2,,,1,,1,
"Primaria (053)",309,36,38,178,2,38,17
"Secundaria (054)",381,89,40,169,6,51,26
"Superior no univ. incompleta (055)",74,27,7,27,,10,3
"Superior no univ. completa (056)",94,54,2,31,,5,2
"Superior univ. incompleta (057)",38,17,2,13,2,3,1
"Superior univ. completa (058)",240,175,5,52,3,4,1
,,,,,,,
"RURAL (060)",3375,633,1511,878,40,293,20
"Sin nivel (061)",152,2,36,80,,32,2
"Educación inicial (062)",2,2,,,,,
"Primaria (063)",826,22,285,379,10,122,8
"Secundaria (064)",1221,120,697,282,14,100,8
"Superior no univ. incompleta (065)",272,67,146,50,2,5,2
"Superior no univ. completa (066)",314,116,172,15,2,9,
"Superior univ. incompleta (067)",157,50,68,32,3,4,
"Superior univ. completa (068)",431,254,107,40,9,21,
"Hombres (070)",2720,515,1357,672,35,138,3
"Sin nivel (071)",62,2,25,30,,4,1
"Educación inicial (072)",1,1,,,,,
"Primaria (073)",581,13,221,287,9,51,
"Secundaria (074)",1065,112,645,236,12,58,2
"Superior no univ. incompleta (075)",240,54,136,45,2,3,
"Superior no univ. completa (076)",275,96,166,10,1,2,
"Superior univ. incompleta (077)",143,40,67,30,3,3,
"Superior univ. completa (078)",353,197,97,34,8,17,
"Mujeres (080)",655,118,154,206,5,155,17
"Sin nivel (081)",90,,11,50,,28,1
"Educación inicial (082)",1,1,,,,,
"Primaria (083)",245,9,64,92,1,71,8
"Secundaria (084)",156,8,52,46,2,42,6
"Superior no univ. incompleta (085)",32,13,10,5,,2,2
"Superior no univ. completa (086)",39,20,6,5,1,7,
"Superior univ. incompleta (087)",14,10,1,2,,1,
"Superior univ. completa (088)",78,57,10,6,1,4,
