"CUADRO Nº 7: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia LIMA (000)",3286770,19394,1141672,1246213,782778,96713
"Agric., ganadería, caza y silvicultura (001)",32982,424,8919,10306,9970,3363
"Pesca (002)",3971,7,881,1590,1295,198
"Explotación de minas y canteras (003)",12075,9,3088,4995,3677,306
"Industrias manufactureras (004)",459439,2364,205482,158929,82727,9937
"Suministro de electricidad, gas y agua (005)",8124,17,2051,3600,2285,171
"Construcción (006)",194476,734,56603,76537,53230,7372
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",788017,7783,257673,288482,202438,31641
"Venta, mant.y rep. veh.autom.y motoc. (008)",89465,444,33858,31805,20787,2571
"Comercio al por mayor (009)",57036,167,22060,22824,10848,1137
"Comercio al por menor (010)",641516,7172,201755,233853,170803,27933
"Hoteles y restaurantes (011)",184018,2262,74638,59102,42595,5421
"Trans., almac. y comunicaciones (012)",335005,1039,118106,135335,73564,6961
"Intermediación financiera (013)",42519,8,16793,17277,8021,420
"Activid.inmobil., empres. y alquileres (014)",344490,397,118357,141270,76469,7997
"Admin.pub. y defensa; p. segur.soc.afil (015)",121092,,22373,56107,41021,1591
"Enseñanza (016)",187001,37,45170,83378,53376,5040
"Servicios sociales y de salud (017)",111205,38,26271,49079,32896,2921
"Otras activ. serv.comun.soc y personales (018)",162056,1521,57536,59776,37468,5755
"Hogares privados con servicio doméstico (019)",153917,1912,73289,46498,29464,2754
"Organiz. y organos extraterritoriales (020)",451,,71,184,186,10
"Actividad economica no especificada (021)",145932,842,54371,53768,32096,4855
"Hombres (022)",1947635,11111,650707,733625,483928,68264
"Agric., ganadería, caza y silvicultura (023)",25119,308,6995,7642,7460,2714
"Pesca (024)",3454,6,731,1332,1195,190
"Explotación de minas y canteras (025)",9951,9,2326,4087,3240,289
"Industrias manufactureras (026)",310154,1594,138178,104107,58354,7921
"Suministro de electricidad, gas y agua (027)",7052,15,1719,3096,2059,163
"Construcción (028)",186177,705,53669,72981,51561,7261
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",426434,4597,137898,152368,112034,19537
"Venta, mant.y rep. veh.autom.y motoc. (030)",80479,405,29569,28583,19452,2470
"Comercio al por mayor (031)",34268,119,12707,13610,7004,828
"Comercio al por menor (032)",311687,4073,95622,110175,85578,16239
"Hoteles y restaurantes (033)",71353,951,33335,21119,13739,2209
