"CUADRO Nº 6: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia CAÑETE (000)",82659,934,27334,30018,20267,4106
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (001)",168,,10,72,80,6
"Profes., científicos e intelectuales (002)",6193,,1294,3066,1723,110
"Técnicos de nivel medio y trab. asimilados (003)",3362,,1239,1300,747,76
"Jefes y empleados de oficina (004)",2901,,1324,1042,515,20
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",12969,165,4110,4761,3257,676
"Agricult. trabaj. calif.agrop. y pesqueros (006)",7777,42,1379,2283,2778,1295
"Obreros y oper.minas, cant.,ind.manuf. y otros (007)",5509,31,2071,2042,1169,196
"Obreros construc., conf., papel, fab., instr. (008)",9610,15,3172,3846,2319,258
"Trabaj.no calif. serv., peon, vend.,amb.,y afines (009)",32626,680,12303,10994,7258,1391
"Otra (010)",507,,57,287,163,
"Ocupación no especificada (011)",1037,1,375,325,258,78
"Hombres (012)",53037,606,17889,18495,13079,2968
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (013)",117,,5,48,62,2
"Profes., científicos e intelectuales (014)",2823,,523,1283,929,88
"Técnicos de nivel medio y trab. asimilados (015)",2138,,773,836,473,56
"Jefes y empleados de oficina (016)",1300,,512,466,309,13
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",5410,83,1915,1884,1231,297
"Agricult. trabaj. calif.agrop. y pesqueros (018)",6494,34,1145,1835,2324,1156
"Obreros y oper.minas, cant.,ind.manuf. y otros (019)",4818,29,1835,1788,997,169
"Obreros construc., conf., papel, fab., instr. (020)",9420,13,3088,3780,2289,250
"Trabaj.no calif. serv., peon, vend.,amb.,y afines (021)",19559,446,7862,6154,4193,904
"Otra (022)",486,,50,277,159,
"Ocupación no especificada (023)",472,1,181,144,113,33
"Mujeres (024)",29622,328,9445,11523,7188,1138
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (025)",51,,5,24,18,4
"Profes., científicos e intelectuales (026)",3370,,771,1783,794,22
"Técnicos de nivel medio y trab. asimilados (027)",1224,,466,464,274,20
"Jefes y empleados de oficina (028)",1601,,812,576,206,7
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",7559,82,2195,2877,2026,379
"Agricult. trabaj. calif.agrop. y pesqueros (030)",1283,8,234,448,454,139
"Obreros y oper.minas, cant.,ind.manuf. y otros (031)",691,2,236,254,172,27
