"CUADRO Nº 18: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia GENERAL SANCHEZ CERRO (000)",10098,1769,2676,3790,64,1745,54
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",44,43,,,1,,
"Profes., científicos e intelectuales (002)",919,856,,58,1,4,
"Técnicos de nivel medio y trab. asimilados (003)",328,281,,44,3,,
"Jefes y empleados de oficina (004)",244,244,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",427,83,5,296,3,40,
"Agricult.trabaj. calif.agrop. y pesqueros (006)",2959,,,2912,47,,
"Obreros y oper.minas, cant., ind.manuf.y otros (007)",405,,273,118,3,11,
"Obreros construc.,conf., papel, fab., instr. (008)",669,65,429,162,4,9,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (009)",3575,87,1732,85,,1617,54
"Otra (010)",59,59,,,,,
"Ocupación no especificada (011)",469,51,237,115,2,64,
"Hombres (012)",7047,1088,2109,2953,49,834,14
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",37,36,,,1,,
"Profes., científicos e intelectuales (014)",458,427,,28,1,2,
"Técnicos de nivel medio y trab. asimilados (015)",253,223,,27,3,,
"Jefes y empleados de oficina (016)",145,145,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",172,51,1,113,1,6,
"Agricult.trabaj. calif.agrop. y pesqueros (018)",2488,,,2454,34,,
"Obreros y oper.minas, cant., ind.manuf.y otros (019)",351,,263,79,3,6,
"Obreros construc.,conf., papel, fab., instr. (020)",655,64,421,158,4,8,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (021)",2126,55,1241,27,,789,14
"Otra (022)",58,58,,,,,
"Ocupación no especificada (023)",304,29,183,67,2,23,
"Mujeres (024)",3051,681,567,837,15,911,40
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",7,7,,,,,
"Profes., científicos e intelectuales (026)",461,429,,30,,2,
"Técnicos de nivel medio y trab. asimilados (027)",75,58,,17,,,
"Jefes y empleados de oficina (028)",99,99,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",255,32,4,183,2,34,
"Agricult.trabaj. calif.agrop. y pesqueros (030)",471,,,458,13,,
"Obreros y oper.minas, cant., ind.manuf.y otros (031)",54,,10,39,,5,
"Obreros construc.,conf., papel, fab., instr. (032)",14,1,8,4,,1,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (033)",1449,32,491,58,,828,40
"Otra (034)",1,1,,,,,
"Ocupación no especificada (035)",165,22,54,48,,41,
,,,,,,,
"URBANA (036)",4607,1127,1093,1579,40,727,41
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (037)",31,30,,,1,,
"Profes., científicos e intelectuales (038)",638,595,,40,,3,
"Técnicos de nivel medio y trab. asimilados (039)",166,134,,31,1,,
"Jefes y empleados de oficina (040)",159,159,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (041)",269,42,2,189,3,33,
"Agricult.trabaj. calif.agrop. y pesqueros (042)",1105,,,1073,32,,
"Obreros y oper.minas, cant., ind.manuf.y otros (043)",113,,44,57,2,10,
"Obreros construc.,conf., papel, fab., instr. (044)",277,35,155,80,1,6,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (045)",1585,53,782,65,,644,41
"Otra (046)",45,45,,,,,
"Ocupación no especificada (047)",219,34,110,44,,31,
"Hombres (048)",2993,658,828,1148,30,317,12
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (049)",27,26,,,1,,
"Profes., científicos e intelectuales (050)",314,292,,21,,1,
"Técnicos de nivel medio y trab. asimilados (051)",115,95,,19,1,,
"Jefes y empleados de oficina (052)",95,95,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (053)",90,19,,64,1,6,
"Agricult.trabaj. calif.agrop. y pesqueros (054)",911,,,887,24,,
"Obreros y oper.minas, cant., ind.manuf.y otros (055)",84,,38,39,2,5,
"Obreros construc.,conf., papel, fab., instr. (056)",269,34,152,77,1,5,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (057)",914,33,557,22,,290,12
"Otra (058)",45,45,,,,,
"Ocupación no especificada (059)",129,19,81,19,,10,
"Mujeres (060)",1614,469,265,431,10,410,29
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (061)",4,4,,,,,
"Profes., científicos e intelectuales (062)",324,303,,19,,2,
"Técnicos de nivel medio y trab. asimilados (063)",51,39,,12,,,
"Jefes y empleados de oficina (064)",64,64,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (065)",179,23,2,125,2,27,
"Agricult.trabaj. calif.agrop. y pesqueros (066)",194,,,186,8,,
"Obreros y oper.minas, cant., ind.manuf.y otros (067)",29,,6,18,,5,
"Obreros construc.,conf., papel, fab., instr. (068)",8,1,3,3,,1,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (069)",671,20,225,43,,354,29
"Ocupación no especificada (071)",90,15,29,25,,21,
,,,,,,,
"RURAL (072)",5491,642,1583,2211,24,1018,13
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (073)",13,13,,,,,
"Profes., científicos e intelectuales (074)",281,261,,18,1,1,
"Técnicos de nivel medio y trab. asimilados (075)",162,147,,13,2,,
"Jefes y empleados de oficina (076)",85,85,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (077)",158,41,3,107,,7,
"Agricult.trabaj. calif.agrop. y pesqueros (078)",1854,,,1839,15,,
"Obreros y oper.minas, cant., ind.manuf.y otros (079)",292,,229,61,1,1,
"Obreros construc.,conf., papel, fab., instr. (080)",392,30,274,82,3,3,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (081)",1990,34,950,20,,973,13
"Otra (082)",14,14,,,,,
"Ocupación no especificada (083)",250,17,127,71,2,33,
"Hombres (084)",4054,430,1281,1805,19,517,2
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (085)",10,10,,,,,
"Profes., científicos e intelectuales (086)",144,135,,7,1,1,
"Técnicos de nivel medio y trab. asimilados (087)",138,128,,8,2,,
"Jefes y empleados de oficina (088)",50,50,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (089)",82,32,1,49,,,
"Agricult.trabaj. calif.agrop. y pesqueros (090)",1577,,,1567,10,,
"Obreros y oper.minas, cant., ind.manuf.y otros (091)",267,,225,40,1,1,
"Obreros construc.,conf., papel, fab., instr. (092)",386,30,269,81,3,3,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (093)",1212,22,684,5,,499,2
"Otra (094)",13,13,,,,,
"Ocupación no especificada (095)",175,10,102,48,2,13,
"Mujeres (096)",1437,212,302,406,5,501,11
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (097)",3,3,,,,,
"Profes., científicos e intelectuales (098)",137,126,,11,,,
"Técnicos de nivel medio y trab. asimilados (099)",24,19,,5,,,
"Jefes y empleados de oficina (100)",35,35,,,,,
