"CUADRO Nº 23: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia ISLAY (000)",21271,4645,7547,7268,512,921,378
"Agric., ganadería, caza y silvicultura (001)",6483,49,4315,1349,310,460,
"Pesca (002)",1034,23,625,373,11,2,
"Explotación de minas y canteras (003)",216,49,160,7,,,
"Industrias manufactureras (004)",1155,128,499,488,25,15,
"Suministro de electricidad, gas y agua (005)",58,27,29,2,,,
"Construcción (006)",1047,40,704,281,15,7,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",3340,609,181,2212,70,268,
"Venta, mant.y rep. veh.autom.y motoc. (008)",530,91,148,262,18,11,
"Comercio al por mayor (009)",168,69,12,68,3,16,
"Comercio al por menor (010)",2642,449,21,1882,49,241,
"Hoteles y restaurantes (011)",1033,312,52,571,26,72,
"Trans., almac. y comunicaciones (012)",2014,648,538,780,22,26,
"Intermediación financiera (013)",69,64,1,2,2,,
"Activid.inmobil., empres. y alquileres (014)",873,602,127,131,6,7,
"Admin.pub. y defensa; p. segur.soc.afil (015)",725,643,82,,,,
"Enseñanza (016)",913,837,1,69,6,,
"Servicios sociales y de salud (017)",292,245,9,36,,2,
"Otras activ. serv.comun.soc y personales (018)",942,239,138,554,6,5,
"Hogares privados con servicio doméstico (019)",378,,,,,,378
"Actividad economica no especificada (021)",699,130,86,413,13,57,
"Hombres (022)",13627,2638,5529,4608,400,414,38
"Agric., ganadería, caza y silvicultura (023)",4279,40,2608,1118,255,258,
"Pesca (024)",1001,19,601,369,11,1,
"Explotación de minas y canteras (025)",212,46,159,7,,,
"Industrias manufactureras (026)",906,91,445,339,20,11,
"Suministro de electricidad, gas y agua (027)",54,23,29,2,,,
"Construcción (028)",1009,37,676,275,15,6,
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",1450,284,172,880,45,69,
"Venta, mant.y rep. veh.autom.y motoc. (030)",488,71,139,252,16,10,
"Comercio al por mayor (031)",93,38,12,33,3,7,
"Comercio al por menor (032)",869,175,21,595,26,52,
"Hoteles y restaurantes (033)",284,134,23,96,9,22,
"Trans., almac. y comunicaciones (034)",1786,505,502,742,21,16,
"Intermediación financiera (035)",31,29,,1,1,,
"Activid.inmobil., empres. y alquileres (036)",650,430,101,109,6,4,
"Admin.pub. y defensa; p. segur.soc.afil (037)",535,474,61,,,,
"Enseñanza (038)",304,270,1,28,5,,
"Servicios sociales y de salud (039)",99,71,1,27,,,
"Otras activ. serv.comun.soc y personales (040)",515,129,102,276,4,4,
"Hogares privados con servicio doméstico (041)",38,,,,,,38
"Actividad economica no especificada (043)",474,56,48,339,8,23,
"Mujeres (044)",7644,2007,2018,2660,112,507,340
"Agric., ganadería, caza y silvicultura (045)",2204,9,1707,231,55,202,
"Pesca (046)",33,4,24,4,,1,
"Explotación de minas y canteras (047)",4,3,1,,,,
"Industrias manufactureras (048)",249,37,54,149,5,4,
"Suministro de electricidad, gas y agua (049)",4,4,,,,,
"Construcción (050)",38,3,28,6,,1,
"Comerc., rep. veh. autom.,motoc. efect. pers. (051)",1890,325,9,1332,25,199,
"Venta, mant.y rep. veh.autom.y motoc. (052)",42,20,9,10,2,1,
"Comercio al por mayor (053)",75,31,,35,,9,
"Comercio al por menor (054)",1773,274,,1287,23,189,
"Hoteles y restaurantes (055)",749,178,29,475,17,50,
"Trans., almac. y comunicaciones (056)",228,143,36,38,1,10,
"Intermediación financiera (057)",38,35,1,1,1,,
"Activid.inmobil., empres. y alquileres (058)",223,172,26,22,,3,
"Admin.pub. y defensa; p. segur.soc.afil (059)",190,169,21,,,,
"Enseñanza (060)",609,567,,41,1,,
"Servicios sociales y de salud (061)",193,174,8,9,,2,
"Otras activ. serv.comun.soc y personales (062)",427,110,36,278,2,1,
"Hogares privados con servicio doméstico (063)",340,,,,,,340
"Actividad economica no especificada (065)",225,74,38,74,5,34,
,,,,,,,
"URBANA (066)",18750,4405,6096,6777,372,731,369
"Agric., ganadería, caza y silvicultura (067)",4828,41,3309,1015,175,288,
"Pesca (068)",838,20,439,366,11,2,
"Explotación de minas y canteras (069)",105,27,71,7,,,
"Industrias manufactureras (070)",1047,101,434,472,25,15,
"Suministro de electricidad, gas y agua (071)",55,26,27,2,,,
"Construcción (072)",1017,36,684,276,15,6,
"Comerc., rep. veh. autom.,motoc. efect. pers. (073)",3230,595,172,2134,70,259,
"Venta, mant.y rep. veh.autom.y motoc. (074)",513,87,141,256,18,11,
"Comercio al por mayor (075)",162,69,12,65,3,13,
"Comercio al por menor (076)",2555,439,19,1813,49,235,
"Hoteles y restaurantes (077)",997,305,38,560,25,69,
"Trans., almac. y comunicaciones (078)",1961,633,525,757,21,25,
"Intermediación financiera (079)",68,64,1,2,1,,
"Activid.inmobil., empres. y alquileres (080)",817,570,104,131,6,6,
"Admin.pub. y defensa; p. segur.soc.afil (081)",645,569,76,,,,
"Enseñanza (082)",895,820,1,68,6,,
"Servicios sociales y de salud (083)",280,236,8,34,,2,
"Otras activ. serv.comun.soc y personales (084)",915,234,127,543,6,5,
"Hogares privados con servicio doméstico (085)",369,,,,,,369
"Actividad economica no especificada (087)",683,128,80,410,11,54,
"Hombres (088)",11770,2448,4440,4233,288,326,35
"Agric., ganadería, caza y silvicultura (089)",3123,33,1943,829,147,171,
"Pesca (090)",806,16,416,362,11,1,
"Explotación de minas y canteras (091)",101,24,70,7,,,
"Industrias manufactureras (092)",809,69,382,327,20,11,
"Suministro de electricidad, gas y agua (093)",51,22,27,2,,,
"Construcción (094)",980,33,656,270,15,6,
"Comerc., rep. veh. autom.,motoc. efect. pers. (095)",1404,272,163,855,45,69,
"Venta, mant.y rep. veh.autom.y motoc. (096)",472,67,132,247,16,10,
"Comercio al por mayor (097)",91,38,12,31,3,7,
"Comercio al por menor (098)",841,167,19,577,26,52,
"Hoteles y restaurantes (099)",269,130,15,93,9,22,
"Trans., almac. y comunicaciones (100)",1736,491,490,719,20,16,
"Intermediación financiera (101)",30,29,,1,,,
"Activid.inmobil., empres. y alquileres (102)",599,403,78,109,6,3,
"Admin.pub. y defensa; p. segur.soc.afil (103)",466,410,56,,,,
"Enseñanza (104)",298,265,1,27,5,,
"Servicios sociales y de salud (105)",97,71,1,25,,,
"Otras activ. serv.comun.soc y personales (106)",499,125,97,269,4,4,
"Hogares privados con servicio doméstico (107)",35,,,,,,35
"Actividad economica no especificada (109)",467,55,45,338,6,23,
"Mujeres (110)",6980,1957,1656,2544,84,405,334
"Agric., ganadería, caza y silvicultura (111)",1705,8,1366,186,28,117,
"Pesca (112)",32,4,23,4,,1,
"Explotación de minas y canteras (113)",4,3,1,,,,
"Industrias manufactureras (114)",238,32,52,145,5,4,
"Suministro de electricidad, gas y agua (115)",4,4,,,,,
"Construcción (116)",37,3,28,6,,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (117)",1826,323,9,1279,25,190,
