"CUADRO Nº 6: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia MARISCAL NIETO (000)",31645,284,8760,12235,8452,1914
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (001)",65,,6,24,32,3
"Profes., científicos e intelectuales (002)",3833,,729,2144,929,31
"Técnicos de nivel medio y trab. asimilados (003)",2033,3,679,866,439,46
"Jefes y empleados de oficina (004)",1931,,768,732,424,7
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",4064,60,1140,1463,1179,222
"Agricult. trabaj. calif.agrop. y pesqueros (006)",3590,3,505,1000,1287,795
"Obreros y oper.minas, cant.,ind.manuf. y otros (007)",1889,5,574,628,585,97
"Obreros construc., conf., papel, fab., instr. (008)",3283,3,786,1442,963,89
"Trabaj.no calif. serv., peon, vend.,amb.,y afines (009)",9197,200,3057,3135,2239,566
"Otra (010)",457,,105,246,106,
"Ocupación no especificada (011)",1303,10,411,555,269,58
"Hombres (012)",19464,169,5247,7374,5373,1301
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (013)",43,,1,14,25,3
"Profes., científicos e intelectuales (014)",1926,,350,1027,530,19
"Técnicos de nivel medio y trab. asimilados (015)",1358,2,421,588,312,35
"Jefes y empleados de oficina (016)",891,,263,349,274,5
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",1429,27,427,484,372,119
"Agricult. trabaj. calif.agrop. y pesqueros (018)",2548,3,325,679,930,611
"Obreros y oper.minas, cant.,ind.manuf. y otros (019)",1714,3,535,560,523,93
"Obreros construc., conf., papel, fab., instr. (020)",3191,2,759,1400,943,87
"Trabaj.no calif. serv., peon, vend.,amb.,y afines (021)",5096,128,1821,1681,1167,299
"Otra (022)",433,,88,239,106,
"Ocupación no especificada (023)",835,4,257,353,191,30
"Mujeres (024)",12181,115,3513,4861,3079,613
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (025)",22,,5,10,7,
"Profes., científicos e intelectuales (026)",1907,,379,1117,399,12
"Técnicos de nivel medio y trab. asimilados (027)",675,1,258,278,127,11
"Jefes y empleados de oficina (028)",1040,,505,383,150,2
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",2635,33,713,979,807,103
"Agricult. trabaj. calif.agrop. y pesqueros (030)",1042,,180,321,357,184
"Obreros y oper.minas, cant.,ind.manuf. y otros (031)",175,2,39,68,62,4
"Obreros construc., conf., papel, fab., instr. (032)",92,1,27,42,20,2
