"CUADRO Nº 6: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia HUANCANE (000)",23192,393,5397,6691,7110,3601
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (001)",56,,4,22,23,7
"Profes., científicos e intelectuales (002)",1061,,177,517,356,11
"Técnicos de nivel medio y trab. asimilados (003)",237,2,72,104,54,5
"Jefes y empleados de oficina (004)",300,,132,95,69,4
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",1565,16,515,517,405,112
"Agricult. trabaj. calif.agrop. y pesqueros (006)",9609,21,1370,2606,3491,2121
"Obreros y oper.minas, cant.,ind.manuf. y otros (007)",955,8,377,269,207,94
"Obreros construc., conf., papel, fab., instr. (008)",754,2,200,279,232,41
"Trabaj.no calif. serv., peon, vend.,amb.,y afines (009)",8024,343,2357,2082,2133,1109
"Otra (010)",109,,20,65,24,
"Ocupación no especificada (011)",522,1,173,135,116,97
"Hombres (012)",13463,201,2990,3900,4213,2159
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (013)",48,,4,17,21,6
"Profes., científicos e intelectuales (014)",777,,111,356,301,9
"Técnicos de nivel medio y trab. asimilados (015)",167,1,54,72,36,4
"Jefes y empleados de oficina (016)",219,,82,75,59,3
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",618,7,177,208,161,65
"Agricult. trabaj. calif.agrop. y pesqueros (018)",6917,12,938,1924,2519,1524
"Obreros y oper.minas, cant.,ind.manuf. y otros (019)",585,3,266,148,115,53
"Obreros construc., conf., papel, fab., instr. (020)",733,1,195,270,226,41
"Trabaj.no calif. serv., peon, vend.,amb.,y afines (021)",3083,177,1062,720,716,408
"Otra (022)",94,,17,56,21,
"Ocupación no especificada (023)",222,,84,54,38,46
"Mujeres (024)",9729,192,2407,2791,2897,1442
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (025)",8,,,5,2,1
"Profes., científicos e intelectuales (026)",284,,66,161,55,2
"Técnicos de nivel medio y trab. asimilados (027)",70,1,18,32,18,1
"Jefes y empleados de oficina (028)",81,,50,20,10,1
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",947,9,338,309,244,47
"Agricult. trabaj. calif.agrop. y pesqueros (030)",2692,9,432,682,972,597
"Obreros y oper.minas, cant.,ind.manuf. y otros (031)",370,5,111,121,92,41
"Obreros construc., conf., papel, fab., instr. (032)",21,1,5,9,6,
