"CUADRO Nº 18: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia AIJA (000)",2130,360,409,999,8,320,34
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",14,14,,,,,
"Profes., científicos e intelectuales (002)",180,171,,8,1,,
"Técnicos de nivel medio y trab. asimilados (003)",30,17,,12,1,,
"Jefes y empleados de oficina (004)",68,68,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",132,25,,98,,9,
"Agricult.trabaj. calif.agrop. y pesqueros (006)",777,,,773,4,,
"Obreros y oper.minas, cant., ind.manuf.y otros (007)",76,,42,27,,7,
"Obreros construc.,conf., papel, fab., instr. (008)",67,5,35,24,2,1,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (009)",719,44,314,32,,295,34
"Otra (010)",6,6,,,,,
"Ocupación no especificada (011)",61,10,18,25,,8,
"Hombres (012)",1573,202,370,801,8,188,4
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",10,10,,,,,
"Profes., científicos e intelectuales (014)",111,105,,5,1,,
"Técnicos de nivel medio y trab. asimilados (015)",21,10,,10,1,,
"Jefes y empleados de oficina (016)",34,34,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",33,11,,22,,,
"Agricult.trabaj. calif.agrop. y pesqueros (018)",701,,,697,4,,
"Obreros y oper.minas, cant., ind.manuf.y otros (019)",70,,42,21,,7,
"Obreros construc.,conf., papel, fab., instr. (020)",67,5,35,24,2,1,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (021)",498,18,283,14,,179,4
"Otra (022)",6,6,,,,,
"Ocupación no especificada (023)",22,3,10,8,,1,
"Mujeres (024)",557,158,39,198,,132,30
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",4,4,,,,,
"Profes., científicos e intelectuales (026)",69,66,,3,,,
"Técnicos de nivel medio y trab. asimilados (027)",9,7,,2,,,
"Jefes y empleados de oficina (028)",34,34,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",99,14,,76,,9,
"Agricult.trabaj. calif.agrop. y pesqueros (030)",76,,,76,,,
"Obreros y oper.minas, cant., ind.manuf.y otros (031)",6,,,6,,,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (033)",221,26,31,18,,116,30
"Ocupación no especificada (035)",39,7,8,17,,7,
,,,,,,,
"URBANA (036)",784,263,142,295,2,61,21
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (037)",13,13,,,,,
"Profes., científicos e intelectuales (038)",125,123,,2,,,
"Técnicos de nivel medio y trab. asimilados (039)",23,12,,11,,,
"Jefes y empleados de oficina (040)",52,52,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (041)",88,16,,66,,6,
"Agricult.trabaj. calif.agrop. y pesqueros (042)",153,,,152,1,,
"Obreros y oper.minas, cant., ind.manuf.y otros (043)",40,,17,18,,5,
"Obreros construc.,conf., papel, fab., instr. (044)",26,5,8,12,1,,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (045)",217,27,102,22,,45,21
"Otra (046)",6,6,,,,,
"Ocupación no especificada (047)",41,9,15,12,,5,
"Hombres (048)",519,147,124,204,2,40,2
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (049)",9,9,,,,,
"Profes., científicos e intelectuales (050)",77,75,,2,,,
"Técnicos de nivel medio y trab. asimilados (051)",15,6,,9,,,
"Jefes y empleados de oficina (052)",26,26,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (053)",20,7,,13,,,
"Agricult.trabaj. calif.agrop. y pesqueros (054)",148,,,147,1,,
"Obreros y oper.minas, cant., ind.manuf.y otros (055)",34,,17,12,,5,
"Obreros construc.,conf., papel, fab., instr. (056)",26,5,8,12,1,,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (057)",145,10,91,8,,34,2
"Otra (058)",6,6,,,,,
"Ocupación no especificada (059)",13,3,8,1,,1,
"Mujeres (060)",265,116,18,91,,21,19
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (061)",4,4,,,,,
"Profes., científicos e intelectuales (062)",48,48,,,,,
"Técnicos de nivel medio y trab. asimilados (063)",8,6,,2,,,
"Jefes y empleados de oficina (064)",26,26,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (065)",68,9,,53,,6,
"Agricult.trabaj. calif.agrop. y pesqueros (066)",5,,,5,,,
"Obreros y oper.minas, cant., ind.manuf.y otros (067)",6,,,6,,,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (069)",72,17,11,14,,11,19
"Ocupación no especificada (071)",28,6,7,11,,4,
,,,,,,,
"RURAL (072)",1346,97,267,704,6,259,13
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (073)",1,1,,,,,
"Profes., científicos e intelectuales (074)",55,48,,6,1,,
"Técnicos de nivel medio y trab. asimilados (075)",7,5,,1,1,,
"Jefes y empleados de oficina (076)",16,16,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (077)",44,9,,32,,3,
"Agricult.trabaj. calif.agrop. y pesqueros (078)",624,,,621,3,,
"Obreros y oper.minas, cant., ind.manuf.y otros (079)",36,,25,9,,2,
"Obreros construc.,conf., papel, fab., instr. (080)",41,,27,12,1,1,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (081)",502,17,212,10,,250,13
"Ocupación no especificada (083)",20,1,3,13,,3,
"Hombres (084)",1054,55,246,597,6,148,2
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (085)",1,1,,,,,
"Profes., científicos e intelectuales (086)",34,30,,3,1,,
"Técnicos de nivel medio y trab. asimilados (087)",6,4,,1,1,,
"Jefes y empleados de oficina (088)",8,8,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (089)",13,4,,9,,,
"Agricult.trabaj. calif.agrop. y pesqueros (090)",553,,,550,3,,
"Obreros y oper.minas, cant., ind.manuf.y otros (091)",36,,25,9,,2,
"Obreros construc.,conf., papel, fab., instr. (092)",41,,27,12,1,1,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (093)",353,8,192,6,,145,2
"Ocupación no especificada (095)",9,,2,7,,,
"Mujeres (096)",292,42,21,107,,111,11
"Profes., científicos e intelectuales (098)",21,18,,3,,,
"Técnicos de nivel medio y trab. asimilados (099)",1,1,,,,,
"Jefes y empleados de oficina (100)",8,8,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (101)",31,5,,23,,3,
"Agricult.trabaj. calif.agrop. y pesqueros (102)",71,,,71,,,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (105)",149,9,20,4,,105,11
"Ocupación no especificada (107)",11,1,1,6,,3,
