"CUADRO Nº 7: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia AREQUIPA (000)",340701,2590,108515,131030,86554,12012
"Agric., ganadería, caza y silvicultura (001)",28417,307,7019,9731,8751,2609
"Pesca (002)",201,,62,86,53,
"Explotación de minas y canteras (003)",4845,9,1574,2164,1025,73
"Industrias manufactureras (004)",37749,242,14559,14145,7745,1058
"Suministro de electricidad, gas y agua (005)",995,,231,364,355,45
"Construcción (006)",22860,65,6736,9230,6005,824
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",77028,831,24542,28399,19797,3459
"Venta, mant.y rep. veh.autom.y motoc. (008)",9531,61,3981,3388,1899,202
"Comercio al por mayor (009)",5149,22,1965,2061,1007,94
"Comercio al por menor (010)",62348,748,18596,22950,16891,3163
"Hoteles y restaurantes (011)",18162,272,6933,5879,4491,587
"Trans., almac. y comunicaciones (012)",35178,172,11785,14067,8377,777
"Intermediación financiera (013)",3001,,1147,1322,511,21
"Activid.inmobil., empres. y alquileres (014)",25945,41,8671,11018,5701,514
"Admin.pub. y defensa; p. segur.soc.afil (015)",14117,,3142,6449,4390,136
"Enseñanza (016)",25217,3,5533,11465,7755,461
"Servicios sociales y de salud (017)",11851,2,2678,4859,4061,251
"Otras activ. serv.comun.soc y personales (018)",14585,148,4940,5641,3398,458
"Hogares privados con servicio doméstico (019)",11966,454,6228,3080,1988,216
"Actividad economica no especificada (021)",8584,44,2735,3131,2151,523
"Hombres (022)",196330,1393,60816,74593,51358,8170
"Agric., ganadería, caza y silvicultura (023)",17833,205,4408,5649,5544,2027
"Pesca (024)",177,,51,77,49,
"Explotación de minas y canteras (025)",4467,8,1423,2004,964,68
"Industrias manufactureras (026)",25083,181,9699,8975,5357,871
"Suministro de electricidad, gas y agua (027)",855,,186,316,310,43
"Construcción (028)",21942,64,6428,8796,5848,806
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",35515,436,11845,12737,8785,1712
"Venta, mant.y rep. veh.autom.y motoc. (030)",8686,57,3662,3016,1755,196
"Comercio al por mayor (031)",2904,12,1082,1152,605,53
"Comercio al por menor (032)",23925,367,7101,8569,6425,1463
"Hoteles y restaurantes (033)",6074,125,3075,1550,1134,190
"Trans., almac. y comunicaciones (034)",30483,141,9387,12499,7706,750
"Intermediación financiera (035)",1565,,503,729,316,17
"Activid.inmobil., empres. y alquileres (036)",16892,28,5187,7036,4183,458
