"CUADRO Nº 6: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia DANIEL ALCIDES CARRION (000)",12313,179,3575,4262,3173,1124
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (001)",15,,,10,4,1
"Profes., científicos e intelectuales (002)",1113,,235,607,262,9
"Técnicos de nivel medio y trab. asimilados (003)",170,,73,69,26,2
"Jefes y empleados de oficina (004)",199,,80,68,50,1
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",918,6,311,363,206,32
"Agricult. trabaj. calif.agrop. y pesqueros (006)",4096,,699,1431,1345,621
"Obreros y oper.minas, cant.,ind.manuf. y otros (007)",364,1,158,115,72,18
"Obreros construc., conf., papel, fab., instr. (008)",438,,148,191,93,6
"Trabaj.no calif. serv., peon, vend.,amb.,y afines (009)",4231,167,1596,1161,944,363
"Otra (010)",23,,12,9,2,
"Ocupación no especificada (011)",746,5,263,238,169,71
"Hombres (012)",9096,103,2489,3175,2427,902
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (013)",13,,,8,4,1
"Profes., científicos e intelectuales (014)",692,,131,366,186,9
"Técnicos de nivel medio y trab. asimilados (015)",117,,47,46,22,2
"Jefes y empleados de oficina (016)",121,,29,48,44,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",411,2,140,164,89,16
"Agricult. trabaj. calif.agrop. y pesqueros (018)",3639,,613,1286,1202,538
"Obreros y oper.minas, cant.,ind.manuf. y otros (019)",314,1,132,107,59,15
"Obreros construc., conf., papel, fab., instr. (020)",427,,143,187,91,6
"Trabaj.no calif. serv., peon, vend.,amb.,y afines (021)",2965,96,1113,829,643,284
"Otra (022)",22,,12,8,2,
"Ocupación no especificada (023)",375,4,129,126,85,31
"Mujeres (024)",3217,76,1086,1087,746,222
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (025)",2,,,2,,
"Profes., científicos e intelectuales (026)",421,,104,241,76,
"Técnicos de nivel medio y trab. asimilados (027)",53,,26,23,4,
"Jefes y empleados de oficina (028)",78,,51,20,6,1
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",507,4,171,199,117,16
"Agricult. trabaj. calif.agrop. y pesqueros (030)",457,,86,145,143,83
"Obreros y oper.minas, cant.,ind.manuf. y otros (031)",50,,26,8,13,3
"Obreros construc., conf., papel, fab., instr. (032)",11,,5,4,2,
"Trabaj.no calif. serv., peon, vend.,amb.,y afines (033)",1266,71,483,332,301,79
