"CUADRO Nº 6: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia CARAVELI (000)",16677,132,6208,5984,3534,819
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (001)",56,,2,21,27,6
"Profes., científicos e intelectuales (002)",754,,151,416,180,7
"Técnicos de nivel medio y trab. asimilados (003)",488,,183,199,90,16
"Jefes y empleados de oficina (004)",361,,122,160,73,6
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",2321,13,836,888,499,85
"Agricult. trabaj. calif.agrop. y pesqueros (006)",1894,2,342,585,619,346
"Obreros y oper.minas, cant.,ind.manuf. y otros (007)",4727,18,2368,1611,671,59
"Obreros construc., conf., papel, fab., instr. (008)",1207,2,353,500,318,34
"Trabaj.no calif. serv., peon, vend.,amb.,y afines (009)",4463,97,1731,1422,970,243
"Otra (010)",125,,21,82,22,
"Ocupación no especificada (011)",281,,99,100,65,17
"Hombres (012)",12594,91,4785,4409,2637,672
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (013)",36,,,13,18,5
"Profes., científicos e intelectuales (014)",348,,65,177,101,5
"Técnicos de nivel medio y trab. asimilados (015)",332,,110,147,62,13
"Jefes y empleados de oficina (016)",200,,53,97,44,6
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",824,6,278,319,183,38
"Agricult. trabaj. calif.agrop. y pesqueros (018)",1693,2,309,528,540,314
"Obreros y oper.minas, cant.,ind.manuf. y otros (019)",4466,17,2246,1524,622,57
"Obreros construc., conf., papel, fab., instr. (020)",1197,2,353,492,316,34
"Trabaj.no calif. serv., peon, vend.,amb.,y afines (021)",3236,64,1292,989,697,194
"Otra (022)",122,,21,80,21,
"Ocupación no especificada (023)",140,,58,43,33,6
"Mujeres (024)",4083,41,1423,1575,897,147
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (025)",20,,2,8,9,1
"Profes., científicos e intelectuales (026)",406,,86,239,79,2
"Técnicos de nivel medio y trab. asimilados (027)",156,,73,52,28,3
"Jefes y empleados de oficina (028)",161,,69,63,29,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",1497,7,558,569,316,47
"Agricult. trabaj. calif.agrop. y pesqueros (030)",201,,33,57,79,32
"Obreros y oper.minas, cant.,ind.manuf. y otros (031)",261,1,122,87,49,2
"Obreros construc., conf., papel, fab., instr. (032)",10,,,8,2,
"Trabaj.no calif. serv., peon, vend.,amb.,y afines (033)",1227,33,439,433,273,49
