"CUADRO Nº 4: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia JUNIN (000)",9907,83,2784,3263,2795,982
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",21,,3,7,10,1
"Profes., científicos e intelectuales (002)",794,,154,427,209,4
"Técnicos de nivel medio y trab.asimilados (003)",262,,94,93,62,13
"Jefes y empleados de oficina (004)",269,,134,77,58,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",913,8,251,328,263,63
"Agricult.trabaj. calif. agrop. y pesqueros (006)",2869,5,456,801,1015,592
"Obreros y oper.minas, cant.,ind.manuf. y otros (007)",558,3,197,180,141,37
"Obreros construc., conf., papel, fab., instr. (008)",875,,280,352,225,18
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (009)",2456,65,818,724,648,201
"Otra (010)",26,,5,14,7,
"Ocupación no especificada (011)",201,,63,61,42,35
"Desocupado (012)",663,2,329,199,115,18
"Hombres (013)",6723,37,1924,2179,1909,674
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (014)",18,,3,6,8,1
"Profes., científicos e intelectuales (015)",423,,77,216,126,4
"Técnicos de nivel medio y trab.asimilados (016)",147,,53,44,39,11
"Jefes y empleados de oficina (017)",137,,53,40,44,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (018)",352,4,102,118,101,27
"Agricult.trabaj. calif. agrop. y pesqueros (019)",2300,4,369,669,801,457
"Obreros y oper.minas, cant.,ind.manuf. y otros (020)",483,3,176,158,126,20
"Obreros construc., conf., papel, fab., instr. (021)",856,,271,346,222,17
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (022)",1392,26,545,388,321,112
"Otra (023)",26,,5,14,7,
"Ocupación no especificada (024)",87,,37,23,17,10
"Desocupado (025)",502,,233,157,97,15
"Mujeres (026)",3184,46,860,1084,886,308
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (027)",3,,,1,2,
"Profes., científicos e intelectuales (028)",371,,77,211,83,
"Técnicos de nivel medio y trab.asimilados (029)",115,,41,49,23,2
"Jefes y empleados de oficina (030)",132,,81,37,14,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (031)",561,4,149,210,162,36
"Agricult.trabaj. calif. agrop. y pesqueros (032)",569,1,87,132,214,135
"Obreros y oper.minas, cant.,ind.manuf. y otros (033)",75,,21,22,15,17
"Obreros construc., conf., papel, fab., instr. (034)",19,,9,6,3,1
