"CUADRO Nº 6: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia ICA (000)",129962,1159,44750,47885,31554,4614
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (001)",436,,21,156,232,27
"Profes., científicos e intelectuales (002)",16871,,2826,7897,5760,388
"Técnicos de nivel medio y trab. asimilados (003)",7380,7,2588,2842,1772,171
"Jefes y empleados de oficina (004)",6106,,2348,2249,1450,59
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",18509,203,5967,6824,4696,819
"Agricult. trabaj. calif.agrop. y pesqueros (006)",3767,3,643,1082,1405,634
"Obreros y oper.minas, cant.,ind.manuf. y otros (007)",9675,72,3494,3426,2234,449
"Obreros construc., conf., papel, fab., instr. (008)",16516,39,5570,6644,3738,525
"Trabaj.no calif. serv., peon, vend.,amb.,y afines (009)",47790,818,20481,15576,9490,1425
"Otra (010)",699,,42,368,289,
"Ocupación no especificada (011)",2213,17,770,821,488,117
"Hombres (012)",80799,784,28041,28430,20006,3538
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (013)",278,,12,103,147,16
"Profes., científicos e intelectuales (014)",8417,,1205,3689,3216,307
"Técnicos de nivel medio y trab. asimilados (015)",4653,5,1579,1766,1159,144
"Jefes y empleados de oficina (016)",2939,,952,1075,864,48
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",8549,121,2870,3047,2084,427
"Agricult. trabaj. calif.agrop. y pesqueros (018)",3187,3,495,881,1222,586
"Obreros y oper.minas, cant.,ind.manuf. y otros (019)",7299,65,2703,2468,1667,396
"Obreros construc., conf., papel, fab., instr. (020)",16050,30,5391,6457,3653,519
"Trabaj.no calif. serv., peon, vend.,amb.,y afines (021)",27564,547,12357,8189,5443,1028
"Otra (022)",646,,33,335,278,
"Ocupación no especificada (023)",1217,13,444,420,273,67
"Mujeres (024)",49163,375,16709,19455,11548,1076
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (025)",158,,9,53,85,11
"Profes., científicos e intelectuales (026)",8454,,1621,4208,2544,81
"Técnicos de nivel medio y trab. asimilados (027)",2727,2,1009,1076,613,27
"Jefes y empleados de oficina (028)",3167,,1396,1174,586,11
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",9960,82,3097,3777,2612,392
"Agricult. trabaj. calif.agrop. y pesqueros (030)",580,,148,201,183,48
"Obreros y oper.minas, cant.,ind.manuf. y otros (031)",2376,7,791,958,567,53
