"CUADRO Nº 4: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia CORONGO (000)",2582,23,715,884,711,249
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",25,,5,13,6,1
"Profes., científicos e intelectuales (002)",229,,43,147,38,1
"Técnicos de nivel medio y trab.asimilados (003)",57,,9,28,19,1
"Jefes y empleados de oficina (004)",99,,25,45,28,1
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",209,1,69,59,60,20
"Agricult.trabaj. calif. agrop. y pesqueros (006)",799,1,117,251,284,146
"Obreros y oper.minas, cant.,ind.manuf. y otros (007)",131,1,42,43,40,5
"Obreros construc., conf., papel, fab., instr. (008)",125,,43,52,28,2
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (009)",757,19,306,202,176,54
"Otra (010)",8,,2,5,1,
"Ocupación no especificada (011)",71,1,15,20,21,14
"Desocupado (012)",72,,39,19,10,4
"Hombres (013)",2059,14,579,685,573,208
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (014)",21,,3,12,6,
"Profes., científicos e intelectuales (015)",137,,22,89,25,1
"Técnicos de nivel medio y trab.asimilados (016)",40,,7,19,14,
"Jefes y empleados de oficina (017)",63,,14,29,19,1
"Trab.de serv.pers.y vend.del comerc.y mcdo. (018)",85,,31,21,21,12
"Agricult.trabaj. calif. agrop. y pesqueros (019)",769,1,114,242,275,137
"Obreros y oper.minas, cant.,ind.manuf. y otros (020)",112,1,38,37,32,4
"Obreros construc., conf., papel, fab., instr. (021)",125,,43,52,28,2
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (022)",623,12,268,161,137,45
"Otra (023)",8,,2,5,1,
"Ocupación no especificada (024)",15,,4,2,6,3
"Desocupado (025)",61,,33,16,9,3
"Mujeres (026)",523,9,136,199,138,41
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (027)",4,,2,1,,1
"Profes., científicos e intelectuales (028)",92,,21,58,13,
"Técnicos de nivel medio y trab.asimilados (029)",17,,2,9,5,1
"Jefes y empleados de oficina (030)",36,,11,16,9,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (031)",124,1,38,38,39,8
"Agricult.trabaj. calif. agrop. y pesqueros (032)",30,,3,9,9,9
"Obreros y oper.minas, cant.,ind.manuf. y otros (033)",19,,4,6,8,1
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (035)",134,7,38,41,39,9
"Ocupación no especificada (037)",56,1,11,18,15,11
