"CUADRO Nº 5: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia LUCANAS (000)",24581,451,6888,8025,6337,2880
"Agric., ganadería, caza y silvicultura (001)",11783,305,2394,3060,3630,2394
"Pesca (002)",5,,2,1,2,
"Explotación de minas y canteras (003)",2627,6,1331,931,329,30
"Industrias manufactureras (004)",522,9,208,157,120,28
"Suministro de electricidad, gas y agua (005)",32,,14,10,7,1
"Construcción (006)",587,6,221,208,134,18
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",2417,52,631,912,659,163
"Venta, mant.y rep. veh.autom.y motoc. (008)",106,3,36,40,22,5
"Comercio al por mayor (009)",85,,19,46,18,2
"Comercio al por menor (010)",2226,49,576,826,619,156
"Hoteles y restaurantes (011)",587,25,214,187,139,22
"Trans., almac. y comunicaciones (012)",663,5,254,264,127,13
"Intermediación financiera (013)",30,,20,7,3,
"Activid.inmobil., empres. y alquileres (014)",237,,76,95,52,14
"Admin.pub. y defensa; p. segur.soc afil (015)",459,,93,204,147,15
"Enseñanza (016)",1933,1,314,1112,498,8
"Servicios sociales y de salud (017)",399,,102,203,86,8
"Otras activ. serv.comun.soc y personales (018)",204,7,73,85,31,8
"Hogares privados con servicio doméstico (019)",276,11,161,67,27,10
"Actividad economica no especificada (021)",819,6,283,226,195,109
"Desocupado (022)",1001,18,497,296,151,39
"Hombres (023)",16832,300,4812,5388,4296,2036
"Agric., ganadería, caza y silvicultura (024)",8547,214,1816,2240,2532,1745
"Pesca (025)",5,,2,1,2,
"Explotación de minas y canteras (026)",2492,6,1252,896,309,29
"Industrias manufactureras (027)",391,9,147,118,97,20
"Suministro de electricidad, gas y agua (028)",27,,13,9,5,
"Construcción (029)",567,6,213,202,128,18
"Comerc., rep. veh. autom.,motoc. efect. pers. (030)",1033,32,261,363,301,76
"Venta, mant.y rep. veh.autom.y motoc. (031)",95,3,33,33,21,5
"Comercio al por mayor (032)",48,,9,23,14,2
"Comercio al por menor (033)",890,29,219,307,266,69
"Hoteles y restaurantes (034)",100,5,29,33,26,7
"Trans., almac. y comunicaciones (035)",631,4,241,254,121,11
"Intermediación financiera (036)",18,,13,3,2,
"Activid.inmobil., empres. y alquileres (037)",188,,55,75,45,13
"Admin.pub. y defensa; p. segur.soc afil (038)",369,,63,159,133,14
"Enseñanza (039)",962,1,113,550,292,6
"Servicios sociales y de salud (040)",170,,30,89,46,5
